# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0904-v0M1_gene_tas.txt -m 4 -s 1000
#FDR Corrected thresholds: 0.993 0.034
#MH Acceptance-Rate:	34.98%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.792663
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	1	106	105	1308	1.000000	E
cds_SP5448_00010	1	102	101	1108	1.000000	E
cds_SP5448_00015	1	15	14	174	0.861000	U
cds_SP5448_00020	8	80	23	266	0.007000	NE
cds_SP5448_00025	1	56	48	456	0.988000	U
cds_SP5448_00030	58	265	18	246	0.001000	NE
cds_SP5448_00035	4	30	10	80	0.001000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	19	128	23	248	0.002000	NE
cds_SP5448_00055	1	130	108	1029	1.000000	E
cds_SP5448_00060	0	55	55	528	0.997000	E
cds_SP5448_00065	1	138	130	1863	1.000000	E
cds_SP5448_00070	3	156	142	1371	1.000000	E
cds_SP5448_00080	39	91	11	202	0.001000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	38	186	22	318	0.024000	NE
cds_SP5448_00095	4	11	2	10	-1.000000	S
cds_SP5448_00100	2	4	1	2	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	2	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	2	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	1.000000	E
cds_SP5448_00190	1	61	42	639	0.964000	U
cds_SP5448_00195	2	65	44	434	0.965000	U
cds_SP5448_00200	1	86	49	522	0.973000	U
cds_SP5448_00205	1	22	14	131	0.005000	NE
cds_SP5448_00210	6	48	12	302	0.084000	U
cds_SP5448_00215	21	171	19	331	0.016000	NE
cds_SP5448_00220	25	95	12	177	0.001000	NE
cds_SP5448_00225	12	49	8	250	0.000000	NE
cds_SP5448_00230	8	29	5	33	0.000000	NE
cds_SP5448_00235	18	61	9	213	0.000000	NE
cds_SP5448_00240	25	92	9	134	0.000000	NE
cds_SP5448_00245	20	58	7	132	0.000000	NE
cds_SP5448_00250	2	17	7	191	0.000000	NE
cds_SP5448_00255	14	38	8	263	0.002000	NE
cds_SP5448_00260	39	173	17	186	0.001000	NE
cds_SP5448_00265	6	57	20	552	0.235000	U
cds_SP5448_00270	20	90	15	112	0.001000	NE
cds_SP5448_00280	2	78	41	454	0.899000	U
cds_SP5448_00285	14	41	7	78	0.000000	NE
cds_SP5448_00290	2	38	21	217	0.001000	NE
cds_SP5448_00295	1	150	131	1537	1.000000	E
cds_SP5448_00300	27	148	18	371	0.032000	NE
cds_SP5448_00305	15	67	13	165	0.001000	NE
cds_SP5448_00310	34	106	8	80	0.000000	NE
cds_SP5448_00315	1	13	11	202	0.003000	NE
cds_SP5448_00320	0	31	31	613	0.954000	U
cds_SP5448_00325	0	31	31	613	0.951000	U
cds_SP5448_00330	0	15	15	287	0.938000	U
cds_SP5448_00335	2	47	22	368	0.368000	U
cds_SP5448_00340	0	14	14	273	0.938000	U
cds_SP5448_00345	0	20	20	333	0.927000	U
cds_SP5448_00350	0	34	34	640	0.967000	U
cds_SP5448_00355	0	27	27	409	0.938000	U
cds_SP5448_00360	0	7	7	192	0.870000	U
cds_SP5448_00365	0	22	22	252	0.982000	U
cds_SP5448_00370	0	21	21	333	0.950000	U
cds_SP5448_00375	0	22	22	298	0.976000	U
cds_SP5448_00380	2	34	17	250	0.003000	NE
cds_SP5448_00385	0	10	10	180	0.898000	U
cds_SP5448_00390	0	24	24	393	0.907000	U
cds_SP5448_00395	1	36	18	307	0.320000	U
cds_SP5448_00400	0	19	19	342	0.914000	U
cds_SP5448_00405	0	25	25	486	0.899000	U
cds_SP5448_00410	1	16	14	152	0.683000	U
cds_SP5448_00415	1	29	27	397	0.919000	U
cds_SP5448_00420	0	117	117	1297	1.000000	E
cds_SP5448_00425	1	46	34	424	0.904000	U
cds_SP5448_00430	1	15	13	169	0.791000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.929000	U
cds_SP5448_00445	1	19	15	289	0.367000	U
cds_SP5448_00450	0	67	67	919	1.000000	E
cds_SP5448_00455	0	23	23	380	0.904000	U
cds_SP5448_00465	39	91	11	202	0.001000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	39	186	17	245	0.001000	NE
cds_SP5448_00480	6	11	2	10	-1.000000	S
cds_SP5448_00485	1	3	1	2	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	1	5	3	46	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	2	5	3	40	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	1	5	3	44	-1.000000	S
cds_SP5448_00530	1	2	1	2	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	1	12	10	114	0.058000	U
cds_SP5448_00550	5	19	4	68	0.000000	NE
cds_SP5448_00555	2	14	9	179	0.080000	U
cds_SP5448_00560	1	47	25	258	0.048000	U
cds_SP5448_00565	2	42	24	330	0.486000	U
cds_SP5448_00570	10	69	14	148	0.001000	NE
cds_SP5448_00575	6	25	8	125	0.001000	NE
cds_SP5448_00580	2	76	55	858	0.999000	E
cds_SP5448_00585	11	170	39	458	0.560000	U
cds_SP5448_00590	1	159	135	2920	1.000000	E
cds_SP5448_00595	2	187	111	2096	1.000000	E
cds_SP5448_00600	7	29	12	119	0.001000	NE
cds_SP5448_00605	15	73	21	242	0.003000	NE
cds_SP5448_00610	20	86	15	204	0.001000	NE
cds_SP5448_00615	6	26	9	107	0.001000	NE
cds_SP5448_00620	6	33	8	93	0.000000	NE
cds_SP5448_00625	5	23	10	112	0.001000	NE
cds_SP5448_00630	17	41	6	64	0.000000	NE
cds_SP5448_00635	13	28	4	43	0.000000	NE
cds_SP5448_00640	20	58	11	203	0.001000	NE
cds_SP5448_00645	2	77	63	880	0.999000	E
cds_SP5448_00650	6	26	7	77	0.000000	NE
cds_SP5448_00655	17	50	8	94	0.000000	NE
cds_SP5448_00660	8	62	15	233	0.001000	NE
cds_SP5448_00670	9	22	4	50	0.000000	NE
cds_SP5448_00675	2	25	22	274	0.828000	U
cds_SP5448_00680	7	28	5	123	0.000000	NE
cds_SP5448_00685	9	32	9	84	0.001000	NE
cds_SP5448_00690	9	37	9	117	0.001000	NE
cds_SP5448_00695	12	43	6	78	0.000000	NE
cds_SP5448_00700	6	49	16	303	0.079000	U
cds_SP5448_00705	21	115	20	247	0.001000	NE
cds_SP5448_00710	59	203	10	89	0.000000	NE
cds_SP5448_00715	7	56	18	196	0.001000	NE
cds_SP5448_00720	16	85	19	194	0.001000	NE
cds_SP5448_00725	8	66	17	202	0.001000	NE
cds_SP5448_00730	15	63	11	144	0.001000	NE
cds_SP5448_00735	21	84	15	237	0.001000	NE
cds_SP5448_00740	3	10	4	52	0.000000	NE
cds_SP5448_00745	7	20	5	57	0.000000	NE
cds_SP5448_00750	15	63	14	177	0.001000	NE
cds_SP5448_00755	16	65	13	134	0.001000	NE
cds_SP5448_00760	27	97	9	170	0.000000	NE
cds_SP5448_00765	19	68	10	159	0.001000	NE
cds_SP5448_00770	14	77	18	227	0.001000	NE
cds_SP5448_00775	12	41	6	140	0.000000	NE
cds_SP5448_00780	11	48	6	53	0.000000	NE
cds_SP5448_00785	17	59	10	117	0.001000	NE
cds_SP5448_00790	7	22	3	122	0.000000	NE
cds_SP5448_00795	14	76	16	201	0.001000	NE
cds_SP5448_00800	5	27	11	141	0.001000	NE
cds_SP5448_00805	47	168	13	217	0.001000	NE
cds_SP5448_00810	8	37	11	118	0.001000	NE
cds_SP5448_00815	8	38	8	112	0.000000	NE
cds_SP5448_00820	19	75	15	207	0.001000	NE
cds_SP5448_00825	9	26	6	78	0.000000	NE
cds_SP5448_00830	16	92	20	387	0.074000	U
cds_SP5448_00835	28	95	9	147	0.000000	NE
cds_SP5448_00840	10	42	8	149	0.000000	NE
cds_SP5448_00845	16	75	15	174	0.001000	NE
cds_SP5448_00850	11	62	11	175	0.001000	NE
cds_SP5448_00855	18	71	15	330	0.063000	U
cds_SP5448_00860	10	57	15	336	0.107000	U
cds_SP5448_00865	2	23	21	517	0.780000	U
cds_SP5448_00870	26	97	9	142	0.000000	NE
cds_SP5448_00875	3	54	36	314	0.931000	U
cds_SP5448_00880	34	126	19	314	0.044000	U
cds_SP5448_00885	6	35	10	103	0.001000	NE
cds_SP5448_00890	1	15	9	164	0.016000	NE
cds_SP5448_00900	1	11	6	56	-1.000000	S
cds_SP5448_00905	18	78	7	91	0.000000	NE
cds_SP5448_00910	0	115	115	2492	1.000000	E
cds_SP5448_00915	12	71	14	373	0.034000	U
cds_SP5448_00920	6	17	4	54	0.000000	NE
cds_SP5448_00925	7	33	8	124	0.000000	NE
cds_SP5448_00930	2	28	17	345	0.356000	U
cds_SP5448_00935	12	40	8	147	0.000000	NE
cds_SP5448_00940	7	32	6	142	0.000000	NE
cds_SP5448_00945	32	127	13	170	0.001000	NE
cds_SP5448_00950	18	74	13	149	0.001000	NE
cds_SP5448_00955	9	63	14	171	0.001000	NE
cds_SP5448_00960	25	106	11	213	0.001000	NE
cds_SP5448_00965	4	160	100	1631	1.000000	E
cds_SP5448_00970	4	24	9	166	0.001000	NE
cds_SP5448_00975	2	34	17	205	0.001000	NE
cds_SP5448_00980	6	16	3	59	0.000000	NE
cds_SP5448_00985	39	128	16	176	0.001000	NE
cds_SP5448_00990	16	48	14	228	0.001000	NE
cds_SP5448_00995	4	8	3	93	-1.000000	S
cds_SP5448_01000	7	16	3	28	0.000000	NE
cds_SP5448_01005	14	49	9	99	0.001000	NE
cds_SP5448_01010	2	10	4	117	0.001000	NE
cds_SP5448_01015	14	76	10	169	0.001000	NE
cds_SP5448_01020	15	53	11	109	0.001000	NE
cds_SP5448_01025	13	58	12	180	0.001000	NE
cds_SP5448_01030	14	39	8	89	0.000000	NE
cds_SP5448_01035	12	74	20	220	0.001000	NE
cds_SP5448_01045	13	60	11	133	0.001000	NE
cds_SP5448_01050	2	18	11	197	0.003000	NE
cds_SP5448_01055	4	40	19	266	0.030000	NE
cds_SP5448_01060	10	45	15	249	0.003000	NE
cds_SP5448_01065	1	27	17	282	0.107000	U
cds_SP5448_01070	33	86	10	180	0.001000	NE
cds_SP5448_01075	24	80	10	127	0.001000	NE
cds_SP5448_01085	1	75	71	1266	1.000000	E
cds_SP5448_01090	35	128	11	158	0.001000	NE
cds_SP5448_01095	17	46	5	48	0.000000	NE
cds_SP5448_01100	8	32	12	157	0.001000	NE
cds_SP5448_01105	1	3	2	66	-1.000000	S
cds_SP5448_01115	12	57	14	218	0.001000	NE
cds_SP5448_01120	1	58	37	634	0.941000	U
cds_SP5448_01125	1	70	43	618	0.968000	U
cds_SP5448_01130	3	35	15	172	0.001000	NE
cds_SP5448_01135	21	115	15	344	0.043000	U
cds_SP5448_01140	19	105	27	539	0.313000	U
cds_SP5448_01145	7	40	9	176	0.001000	NE
cds_SP5448_01150	4	26	16	208	0.002000	NE
cds_SP5448_01155	16	75	11	162	0.001000	NE
cds_SP5448_01160	1	27	25	463	0.860000	U
cds_SP5448_01165	15	50	8	73	0.000000	NE
cds_SP5448_01170	2	80	55	1033	1.000000	E
cds_SP5448_01175	41	122	8	108	0.000000	NE
cds_SP5448_01180	43	131	11	58	0.001000	NE
cds_SP5448_01185	25	61	9	89	0.000000	NE
cds_SP5448_01190	0	19	19	347	0.890000	U
cds_SP5448_01195	3	47	25	430	0.555000	U
cds_SP5448_01200	1	48	41	831	0.989000	U
cds_SP5448_01205	0	11	11	126	-1.000000	S
cds_SP5448_01210	7	41	11	263	0.002000	NE
cds_SP5448_01215	14	67	13	208	0.001000	NE
cds_SP5448_01220	15	61	11	131	0.001000	NE
cds_SP5448_01225	14	50	8	174	0.000000	NE
cds_SP5448_01230	14	54	9	71	0.000000	NE
cds_SP5448_01235	19	68	9	88	0.000000	NE
cds_SP5448_01240	16	65	10	101	0.001000	NE
cds_SP5448_01245	14	53	12	238	0.001000	NE
cds_SP5448_01250	9	44	15	177	0.001000	NE
cds_SP5448_01255	5	35	12	194	0.002000	NE
cds_SP5448_01260	5	38	16	341	0.188000	U
cds_SP5448_01270	2	56	35	573	0.899000	U
cds_SP5448_01275	0	35	35	652	0.971000	U
cds_SP5448_01280	1	44	27	388	0.754000	U
cds_SP5448_01285	8	75	23	427	0.213000	U
cds_SP5448_01290	24	71	10	129	0.001000	NE
cds_SP5448_01295	3	56	23	237	0.001000	NE
cds_SP5448_01300	39	205	15	148	0.001000	NE
cds_SP5448_01305	1	28	22	323	0.789000	U
cds_SP5448_01310	2	30	16	140	0.001000	NE
cds_SP5448_01315	1	89	61	1472	1.000000	E
cds_SP5448_01320	0	59	59	1006	0.999000	E
cds_SP5448_01330	0	30	30	735	0.948000	U
cds_SP5448_01335	0	105	105	1521	1.000000	E
cds_SP5448_01340	32	131	10	149	0.000000	NE
cds_SP5448_01345	18	65	8	108	0.000000	NE
cds_SP5448_01350	5	46	12	176	0.001000	NE
cds_SP5448_01355	2	92	45	557	0.949000	U
cds_SP5448_01365	2	49	46	713	0.994000	E
cds_SP5448_01370	2	76	73	1215	1.000000	E
cds_SP5448_01375	2	62	37	888	0.980000	U
cds_SP5448_01380	0	23	23	457	0.863000	U
cds_SP5448_01385	0	87	87	1408	1.000000	E
cds_SP5448_01390	30	100	14	159	0.001000	NE
cds_SP5448_01395	38	111	11	158	0.001000	NE
cds_SP5448_01400	24	110	13	200	0.001000	NE
cds_SP5448_01405	24	133	37	485	0.631000	U
cds_SP5448_01410	17	76	14	219	0.001000	NE
cds_SP5448_01415	11	60	9	147	0.000000	NE
cds_SP5448_01420	9	54	12	168	0.001000	NE
cds_SP5448_01425	2	6	4	53	-1.000000	S
cds_SP5448_01435	37	91	11	202	0.001000	NE
cds_SP5448_01440	0	2	2	59	-1.000000	S
cds_SP5448_01445	35	186	16	223	0.001000	NE
cds_SP5448_01450	7	11	2	12	-1.000000	S
cds_SP5448_01455	1	7	6	57	-1.000000	S
cds_SP5448_01460	1	7	4	43	-1.000000	S
cds_SP5448_01465	11	44	11	104	0.001000	NE
cds_SP5448_01470	10	55	24	306	0.337000	U
cds_SP5448_01475	4	76	30	264	0.041000	U
cds_SP5448_01480	7	31	8	126	0.000000	NE
cds_SP5448_01485	12	41	6	50	0.000000	NE
cds_SP5448_01490	11	69	10	96	0.001000	NE
cds_SP5448_01495	8	59	12	383	0.061000	U
cds_SP5448_01500	1	30	29	519	0.903000	U
cds_SP5448_01505	25	91	10	236	0.001000	NE
cds_SP5448_01510	12	61	8	39	0.000000	NE
cds_SP5448_01515	1	3	1	2	-1.000000	S
cds_SP5448_01520	1	48	44	748	0.987000	U
cds_SP5448_01525	2	16	6	53	0.000000	NE
cds_SP5448_01530	27	77	9	116	0.000000	NE
cds_SP5448_01540	1	24	14	184	0.001000	NE
cds_SP5448_01545	1	85	80	1579	1.000000	E
cds_SP5448_01550	10	50	12	205	0.001000	NE
cds_SP5448_01555	17	70	9	117	0.000000	NE
cds_SP5448_01560	0	57	57	1194	1.000000	E
cds_SP5448_01565	10	58	13	143	0.001000	NE
cds_SP5448_01570	0	24	24	354	0.927000	U
cds_SP5448_01575	2	96	75	1070	1.000000	E
cds_SP5448_01580	1	116	75	1037	1.000000	E
cds_SP5448_01585	0	19	19	224	0.975000	U
cds_SP5448_01590	1	52	50	668	0.993000	U
cds_SP5448_01595	7	39	15	142	0.001000	NE
cds_SP5448_01600	2	70	65	960	1.000000	E
cds_SP5448_01605	3	13	5	75	0.000000	NE
cds_SP5448_01610	22	66	10	127	0.001000	NE
cds_SP5448_01615	10	53	21	280	0.038000	U
cds_SP5448_01620	25	103	13	140	0.001000	NE
cds_SP5448_01625	7	48	17	254	0.005000	NE
cds_SP5448_01630	9	60	17	185	0.001000	NE
cds_SP5448_01635	1	25	24	502	0.820000	U
cds_SP5448_01640	11	45	11	140	0.001000	NE
cds_SP5448_01645	7	44	19	346	0.309000	U
cds_SP5448_01650	2	13	5	178	0.000000	NE
cds_SP5448_01655	7	32	14	146	0.001000	NE
cds_SP5448_01660	2	18	13	122	0.006000	NE
cds_SP5448_01665	34	158	17	304	0.016000	NE
cds_SP5448_01670	16	57	12	144	0.001000	NE
cds_SP5448_01675	16	94	21	343	0.122000	U
cds_SP5448_01680	2	60	38	586	0.944000	U
cds_SP5448_01685	7	69	29	414	0.548000	U
cds_SP5448_01690	5	59	29	369	0.685000	U
cds_SP5448_01695	15	72	10	112	0.001000	NE
cds_SP5448_01700	11	142	43	729	0.863000	U
cds_SP5448_01705	14	61	14	215	0.001000	NE
cds_SP5448_01710	5	43	15	143	0.001000	NE
cds_SP5448_01715	29	147	15	158	0.001000	NE
cds_SP5448_01720	0	44	44	594	0.989000	U
cds_SP5448_01725	1	74	53	693	0.994000	E
cds_SP5448_01730	2	22	11	153	0.001000	NE
cds_SP5448_01735	0	51	51	544	0.998000	E
cds_SP5448_01740	34	181	35	362	0.296000	U
cds_SP5448_01745	8	54	12	104	0.001000	NE
cds_SP5448_01750	0	19	19	307	0.960000	U
cds_SP5448_01755	13	51	15	192	0.001000	NE
cds_SP5448_01760	23	84	9	97	0.000000	NE
cds_SP5448_01765	7	24	3	41	0.000000	NE
cds_SP5448_01770	0	13	13	285	0.935000	U
cds_SP5448_01775	2	31	18	236	0.002000	NE
cds_SP5448_01780	0	16	16	207	0.948000	U
cds_SP5448_01785	6	39	11	204	0.001000	NE
cds_SP5448_01790	0	59	59	901	1.000000	E
cds_SP5448_01795	29	164	22	282	0.007000	NE
cds_SP5448_01800	12	65	12	168	0.001000	NE
cds_SP5448_01805	0	26	26	448	0.903000	U
cds_SP5448_01810	1	31	22	423	0.688000	U
cds_SP5448_01815	0	25	25	377	0.928000	U
cds_SP5448_01820	0	34	34	397	0.970000	U
cds_SP5448_01825	5	68	40	527	0.923000	U
cds_SP5448_01830	7	86	32	577	0.635000	U
cds_SP5448_01835	25	111	15	270	0.002000	NE
cds_SP5448_01845	69	222	14	200	0.001000	NE
cds_SP5448_01850	9	44	15	318	0.134000	U
cds_SP5448_01855	3	58	46	712	0.990000	U
cds_SP5448_01860	21	45	5	48	0.000000	NE
cds_SP5448_01865	10	31	8	109	0.000000	NE
cds_SP5448_01875	1	157	82	1353	1.000000	E
cds_SP5448_01880	0	27	27	330	0.970000	U
cds_SP5448_01885	1	84	62	778	0.998000	E
cds_SP5448_01890	33	111	11	240	0.001000	NE
cds_SP5448_01895	59	277	20	193	0.001000	NE
cds_SP5448_01900	20	72	8	83	0.000000	NE
cds_SP5448_01905	11	53	14	287	0.027000	NE
cds_SP5448_01910	21	78	8	72	0.000000	NE
cds_SP5448_01915	9	48	14	204	0.001000	NE
cds_SP5448_01920	34	133	16	236	0.001000	NE
cds_SP5448_01925	32	134	13	149	0.001000	NE
cds_SP5448_01930	18	51	6	59	0.000000	NE
cds_SP5448_01935	9	56	16	194	0.001000	NE
cds_SP5448_01940	25	102	14	171	0.001000	NE
cds_SP5448_01945	12	153	36	524	0.492000	U
cds_SP5448_01950	16	69	11	232	0.001000	NE
cds_SP5448_01955	26	83	13	134	0.001000	NE
cds_SP5448_01960	8	81	21	290	0.050000	U
cds_SP5448_01965	27	98	8	82	0.000000	NE
cds_SP5448_01970	2	50	48	437	0.997000	E
cds_SP5448_01975	3	81	45	703	0.971000	U
cds_SP5448_01980	0	62	62	777	1.000000	E
cds_SP5448_01985	14	50	10	110	0.001000	NE
cds_SP5448_01990	2	9	5	148	0.000000	NE
cds_SP5448_01995	0	12	12	262	0.927000	U
cds_SP5448_02000	0	76	76	1458	1.000000	E
cds_SP5448_02005	2	62	48	1112	0.998000	E
cds_SP5448_02010	7	20	4	49	0.000000	NE
cds_SP5448_02015	5	18	6	83	0.000000	NE
cds_SP5448_02020	14	48	11	110	0.001000	NE
cds_SP5448_02025	8	55	13	143	0.001000	NE
cds_SP5448_02030	2	55	25	210	0.001000	NE
cds_SP5448_02035	0	81	81	1032	1.000000	E
cds_SP5448_02040	1	32	26	456	0.807000	U
cds_SP5448_02045	3	94	59	1289	1.000000	E
cds_SP5448_02050	1	63	62	1124	1.000000	E
cds_SP5448_02055	1	49	47	742	0.993000	U
cds_SP5448_02060	0	32	32	428	0.958000	U
cds_SP5448_02065	0	72	72	963	1.000000	E
cds_SP5448_02070	0	14	14	217	0.948000	U
cds_SP5448_02075	1	67	55	752	0.995000	E
cds_SP5448_02080	1	72	43	600	0.968000	U
cds_SP5448_02085	1	48	36	503	0.912000	U
cds_SP5448_02090	0	70	70	1224	1.000000	E
cds_SP5448_02095	0	22	22	445	0.838000	U
cds_SP5448_02100	1	20	12	170	0.001000	NE
cds_SP5448_02105	1	74	73	1348	1.000000	E
cds_SP5448_02110	0	45	45	836	0.996000	E
cds_SP5448_02115	1	48	28	440	0.699000	U
cds_SP5448_02120	1	72	71	1274	1.000000	E
cds_SP5448_02125	2	23	10	126	0.001000	NE
cds_SP5448_02130	2	54	32	515	0.797000	U
cds_SP5448_02135	2	44	20	218	0.001000	NE
cds_SP5448_02140	3	48	18	365	0.174000	U
cds_SP5448_02145	12	48	8	108	0.000000	NE
cds_SP5448_02150	28	120	14	172	0.001000	NE
cds_SP5448_02155	1	43	41	387	0.988000	U
cds_SP5448_02160	15	48	9	100	0.001000	NE
cds_SP5448_02165	21	100	14	128	0.001000	NE
cds_SP5448_02170	5	29	11	155	0.001000	NE
cds_SP5448_02175	5	27	8	161	0.000000	NE
cds_SP5448_02180	7	46	12	157	0.001000	NE
cds_SP5448_02185	16	99	11	95	0.001000	NE
cds_SP5448_02190	1	60	37	468	0.894000	U
cds_SP5448_02195	13	45	8	95	0.000000	NE
cds_SP5448_02200	0	4	4	41	-1.000000	S
cds_SP5448_02205	15	72	18	220	0.001000	NE
cds_SP5448_02210	9	50	20	282	0.087000	U
cds_SP5448_02215	11	34	6	53	0.000000	NE
cds_SP5448_02220	2	24	12	169	0.001000	NE
cds_SP5448_02230	6	31	9	149	0.001000	NE
cds_SP5448_02235	2	12	6	66	0.000000	NE
cds_SP5448_02240	0	18	18	265	0.967000	U
cds_SP5448_02250	0	13	13	179	0.935000	U
cds_SP5448_02255	2	23	10	109	0.001000	NE
cds_SP5448_02265	1	18	16	160	0.720000	U
cds_SP5448_02270	0	13	13	289	0.950000	U
cds_SP5448_02275	5	77	36	545	0.839000	U
cds_SP5448_02280	5	37	12	92	0.001000	NE
cds_SP5448_02285	3	39	28	453	0.871000	U
cds_SP5448_02290	13	130	31	418	0.279000	U
cds_SP5448_02295	21	177	28	357	0.105000	U
cds_SP5448_02300	2	12	7	170	0.013000	NE
cds_SP5448_02305	13	93	20	274	0.011000	NE
cds_SP5448_02315	4	25	13	157	0.002000	NE
cds_SP5448_02320	11	70	19	218	0.001000	NE
cds_SP5448_02325	1	17	13	135	0.352000	U
cds_SP5448_02330	7	32	11	129	0.001000	NE
cds_SP5448_02335	6	31	8	89	0.000000	NE
cds_SP5448_02340	21	108	18	292	0.023000	NE
cds_SP5448_02345	43	131	10	103	0.000000	NE
cds_SP5448_02350	31	119	12	119	0.001000	NE
cds_SP5448_02355	4	19	6	74	0.000000	NE
cds_SP5448_02360	8	17	4	158	0.000000	NE
cds_SP5448_02365	2	30	20	225	0.002000	NE
cds_SP5448_02370	13	61	18	303	0.105000	U
cds_SP5448_02375	4	31	9	98	0.001000	NE
cds_SP5448_02380	9	25	9	98	0.001000	NE
cds_SP5448_02385	9	30	8	81	0.000000	NE
cds_SP5448_02390	4	36	20	221	0.002000	NE
cds_SP5448_02395	6	45	13	200	0.001000	NE
cds_SP5448_02400	3	25	17	265	0.035000	U
cds_SP5448_02405	6	26	9	74	0.001000	NE
cds_SP5448_02410	62	316	18	252	0.001000	NE
cds_SP5448_02415	16	78	17	170	0.001000	NE
cds_SP5448_02420	26	148	18	177	0.001000	NE
cds_SP5448_02425	18	80	9	53	0.000000	NE
cds_SP5448_02430	17	59	15	237	0.003000	NE
cds_SP5448_02435	33	131	9	95	0.000000	NE
cds_SP5448_02445	15	40	5	54	0.000000	NE
cds_SP5448_02450	2	17	6	35	0.000000	NE
cds_SP5448_02455	2	12	5	58	0.000000	NE
cds_SP5448_02460	3	11	5	26	-1.000000	S
cds_SP5448_02465	21	97	28	375	0.351000	U
cds_SP5448_02470	32	118	13	115	0.001000	NE
cds_SP5448_02475	2	9	5	135	0.105000	U
cds_SP5448_02480	3	50	23	275	0.100000	U
cds_SP5448_02485	0	65	65	1141	1.000000	E
cds_SP5448_02490	0	17	17	291	0.954000	U
cds_SP5448_02495	1	26	25	285	0.972000	U
