name,type,original_reads,reads,one_hits,failed,samples,rpm,count_table
hpgl0903,v0M1,0,9918765,9026129,529640,362996,0.110789464675278,hpgl0903-v0M1.count.xz
hpgl0903,def,0,9918765,9556865,361900,0,0.104636823895702,hpgl0903-def.count.xz
