name,type,original_reads,reads,one_hits,failed,samples,rpm,count_table
hpgl0870,v0M1,0,11173324,10616698,167837,388789,0.0941912447730923,hpgl0870-v0M1.count.xz
hpgl0870,def,0,11173324,11114266,59058,0,0.0899744526539134,hpgl0870-def.count.xz
