# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0900-v0M1_gene_tas.txt -m 1 -s 1000
#FDR Corrected thresholds: 0.992 0.043
#MH Acceptance-Rate:	39.95%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.623370
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	5	106	45	504	1.000000	E
cds_SP5448_00010	2	102	58	566	1.000000	E
cds_SP5448_00015	1	15	14	174	0.967000	U
cds_SP5448_00020	13	80	14	168	0.001000	NE
cds_SP5448_00025	1	56	52	498	1.000000	E
cds_SP5448_00030	104	265	9	125	0.000000	NE
cds_SP5448_00035	9	30	6	46	0.000000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	42	128	8	50	0.000000	NE
cds_SP5448_00055	5	130	39	299	0.996000	E
cds_SP5448_00060	1	55	53	498	1.000000	E
cds_SP5448_00065	12	138	36	502	0.998000	E
cds_SP5448_00070	18	156	48	448	1.000000	E
cds_SP5448_00080	64	91	4	46	0.000000	NE
cds_SP5448_00085	1	2	1	2	-1.000000	S
cds_SP5448_00090	91	186	12	180	0.001000	NE
cds_SP5448_00095	8	11	1	2	-1.000000	S
cds_SP5448_00100	3	4	1	2	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	2	5	3	47	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	2	4	2	31	-1.000000	S
cds_SP5448_00125	2	2	0	0	-1.000000	S
cds_SP5448_00130	1	3	1	2	-1.000000	S
cds_SP5448_00135	2	6	3	34	-1.000000	S
cds_SP5448_00140	2	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	2	6	3	31	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	3	5	1	2	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	6	87	36	445	0.999000	E
cds_SP5448_00190	5	61	25	319	0.972000	U
cds_SP5448_00195	6	65	15	213	0.001000	NE
cds_SP5448_00200	5	86	27	299	0.939000	U
cds_SP5448_00205	1	22	14	131	0.024000	NE
cds_SP5448_00210	18	48	6	67	0.000000	NE
cds_SP5448_00215	55	171	10	225	0.000000	NE
cds_SP5448_00220	40	95	7	87	0.000000	NE
cds_SP5448_00225	16	49	8	250	0.000000	NE
cds_SP5448_00230	12	29	4	122	0.000000	NE
cds_SP5448_00235	29	61	5	141	0.000000	NE
cds_SP5448_00240	47	92	4	45	0.000000	NE
cds_SP5448_00245	35	58	3	80	0.000000	NE
cds_SP5448_00250	5	17	7	230	0.000000	NE
cds_SP5448_00255	19	38	5	120	0.000000	NE
cds_SP5448_00260	92	173	7	41	0.000000	NE
cds_SP5448_00265	11	57	20	552	0.961000	U
cds_SP5448_00270	47	90	5	32	0.000000	NE
cds_SP5448_00280	5	78	24	308	0.904000	U
cds_SP5448_00285	23	41	4	21	0.000000	NE
cds_SP5448_00290	3	38	16	157	0.001000	NE
cds_SP5448_00295	11	150	48	574	1.000000	E
cds_SP5448_00300	51	148	12	185	0.001000	NE
cds_SP5448_00305	33	67	7	85	0.000000	NE
cds_SP5448_00310	52	106	5	76	0.000000	NE
cds_SP5448_00315	1	13	11	202	0.007000	NE
cds_SP5448_00320	1	31	24	346	0.984000	U
cds_SP5448_00325	2	31	21	483	0.988000	U
cds_SP5448_00330	0	15	15	287	0.998000	E
cds_SP5448_00335	2	47	30	479	0.997000	E
cds_SP5448_00340	1	14	8	166	0.003000	NE
cds_SP5448_00345	1	20	16	299	0.972000	U
cds_SP5448_00350	0	34	34	640	1.000000	E
cds_SP5448_00355	1	27	20	288	0.930000	U
cds_SP5448_00360	0	7	7	192	0.916000	U
cds_SP5448_00365	1	22	18	187	0.261000	U
cds_SP5448_00370	1	21	11	195	0.001000	NE
cds_SP5448_00375	2	22	15	221	0.044000	U
cds_SP5448_00380	2	34	17	250	0.032000	NE
cds_SP5448_00385	1	10	8	162	0.604000	U
cds_SP5448_00390	2	24	20	348	0.991000	U
cds_SP5448_00395	3	36	30	492	1.000000	E
cds_SP5448_00400	0	19	19	342	0.999000	E
cds_SP5448_00405	1	25	20	388	0.989000	U
cds_SP5448_00410	0	16	16	171	0.996000	E
cds_SP5448_00415	4	29	18	264	0.359000	U
cds_SP5448_00420	4	117	26	262	0.194000	U
cds_SP5448_00425	6	46	19	230	0.003000	NE
cds_SP5448_00430	1	15	12	142	0.374000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.997000	E
cds_SP5448_00445	0	19	19	378	0.992000	U
cds_SP5448_00450	2	67	52	714	1.000000	E
cds_SP5448_00455	0	23	23	380	0.998000	E
cds_SP5448_00465	63	91	4	46	0.000000	NE
cds_SP5448_00470	1	2	1	2	-1.000000	S
cds_SP5448_00475	93	186	7	78	0.000000	NE
cds_SP5448_00480	9	11	1	2	-1.000000	S
cds_SP5448_00485	1	3	1	2	-1.000000	S
cds_SP5448_00490	2	4	2	8	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	2	5	3	46	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	3	5	1	2	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	2	2	0	0	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	3	12	7	79	0.001000	NE
cds_SP5448_00550	9	19	4	68	0.000000	NE
cds_SP5448_00555	9	14	2	33	0.000000	NE
cds_SP5448_00560	10	47	17	128	0.001000	NE
cds_SP5448_00565	11	42	11	171	0.001000	NE
cds_SP5448_00570	26	69	7	71	0.000000	NE
cds_SP5448_00575	11	25	5	68	0.000000	NE
cds_SP5448_00580	6	76	43	697	1.000000	E
cds_SP5448_00585	28	170	19	194	0.001000	NE
cds_SP5448_00590	6	159	61	1328	1.000000	E
cds_SP5448_00595	5	187	78	1580	1.000000	E
cds_SP5448_00600	14	29	6	93	0.000000	NE
cds_SP5448_00605	30	73	7	89	0.000000	NE
cds_SP5448_00610	37	86	10	54	0.001000	NE
cds_SP5448_00615	14	26	5	62	0.000000	NE
cds_SP5448_00620	12	33	5	46	0.000000	NE
cds_SP5448_00625	7	23	10	112	0.002000	NE
cds_SP5448_00630	28	41	3	21	0.000000	NE
cds_SP5448_00635	16	28	4	43	0.000000	NE
cds_SP5448_00640	31	58	8	109	0.000000	NE
cds_SP5448_00645	6	77	25	268	0.352000	U
cds_SP5448_00650	11	26	4	46	0.000000	NE
cds_SP5448_00655	25	50	8	94	0.000000	NE
cds_SP5448_00660	24	62	9	144	0.000000	NE
cds_SP5448_00670	13	22	3	31	0.000000	NE
cds_SP5448_00675	9	25	8	114	0.001000	NE
cds_SP5448_00680	14	28	4	79	0.000000	NE
cds_SP5448_00685	18	32	5	38	0.000000	NE
cds_SP5448_00690	14	37	5	93	0.000000	NE
cds_SP5448_00695	19	43	6	153	0.000000	NE
cds_SP5448_00700	11	49	8	123	0.000000	NE
cds_SP5448_00705	52	115	8	116	0.000000	NE
cds_SP5448_00710	98	203	9	122	0.000000	NE
cds_SP5448_00715	19	56	8	75	0.000000	NE
cds_SP5448_00720	31	85	8	70	0.000000	NE
cds_SP5448_00725	19	66	8	56	0.000000	NE
cds_SP5448_00730	30	63	7	52	0.000000	NE
cds_SP5448_00735	39	84	5	124	0.000000	NE
cds_SP5448_00740	3	10	4	52	0.000000	NE
cds_SP5448_00745	12	20	1	2	0.000000	NE
cds_SP5448_00750	30	63	7	79	0.000000	NE
cds_SP5448_00755	22	65	9	99	0.000000	NE
cds_SP5448_00760	37	97	7	134	0.000000	NE
cds_SP5448_00765	32	68	8	74	0.000000	NE
cds_SP5448_00770	30	77	9	109	0.000000	NE
cds_SP5448_00775	22	41	5	61	0.000000	NE
cds_SP5448_00780	20	48	7	96	0.000000	NE
cds_SP5448_00785	29	59	6	46	0.000000	NE
cds_SP5448_00790	11	22	7	72	0.000000	NE
cds_SP5448_00795	30	76	7	103	0.000000	NE
cds_SP5448_00800	8	27	6	101	0.000000	NE
cds_SP5448_00805	75	168	10	86	0.000000	NE
cds_SP5448_00810	10	37	7	58	0.000000	NE
cds_SP5448_00815	17	38	5	67	0.000000	NE
cds_SP5448_00820	41	75	5	60	0.000000	NE
cds_SP5448_00825	14	26	3	44	0.000000	NE
cds_SP5448_00830	42	92	10	222	0.001000	NE
cds_SP5448_00835	48	95	4	36	0.000000	NE
cds_SP5448_00840	19	42	6	88	0.000000	NE
cds_SP5448_00845	34	75	7	74	0.000000	NE
cds_SP5448_00850	27	62	6	105	0.000000	NE
cds_SP5448_00855	32	71	6	89	0.000000	NE
cds_SP5448_00860	20	57	5	75	0.000000	NE
cds_SP5448_00865	4	23	13	391	0.797000	U
cds_SP5448_00870	46	97	8	114	0.000000	NE
cds_SP5448_00875	6	54	13	112	0.001000	NE
cds_SP5448_00880	58	126	6	129	0.000000	NE
cds_SP5448_00885	14	35	6	79	0.000000	NE
cds_SP5448_00890	6	15	2	25	0.000000	NE
cds_SP5448_00900	5	11	3	19	-1.000000	S
cds_SP5448_00905	35	78	5	47	0.000000	NE
cds_SP5448_00910	5	115	40	918	1.000000	E
cds_SP5448_00915	23	71	8	210	0.000000	NE
cds_SP5448_00920	8	17	4	54	0.000000	NE
cds_SP5448_00925	12	33	5	80	0.000000	NE
cds_SP5448_00930	10	28	8	202	0.000000	NE
cds_SP5448_00935	24	40	4	58	0.000000	NE
cds_SP5448_00940	18	32	2	40	0.000000	NE
cds_SP5448_00945	58	127	7	87	0.000000	NE
cds_SP5448_00950	36	74	5	40	0.000000	NE
cds_SP5448_00955	28	63	6	53	0.000000	NE
cds_SP5448_00960	46	106	7	121	0.000000	NE
cds_SP5448_00965	13	160	40	785	1.000000	E
cds_SP5448_00970	10	24	3	44	0.000000	NE
cds_SP5448_00975	9	34	6	54	0.000000	NE
cds_SP5448_00980	8	16	3	59	0.000000	NE
cds_SP5448_00985	66	128	6	68	0.000000	NE
cds_SP5448_00990	27	48	4	36	0.000000	NE
cds_SP5448_00995	5	8	1	2	-1.000000	S
cds_SP5448_01000	11	16	1	2	0.000000	NE
cds_SP5448_01005	31	49	3	20	0.000000	NE
cds_SP5448_01010	2	10	4	117	0.000000	NE
cds_SP5448_01015	30	76	9	167	0.000000	NE
cds_SP5448_01020	26	53	5	49	0.000000	NE
cds_SP5448_01025	28	58	8	131	0.000000	NE
cds_SP5448_01030	26	39	3	26	0.000000	NE
cds_SP5448_01035	35	74	7	67	0.000000	NE
cds_SP5448_01045	22	60	8	154	0.000000	NE
cds_SP5448_01050	6	18	4	110	0.000000	NE
cds_SP5448_01055	15	40	6	38	0.000000	NE
cds_SP5448_01060	19	45	5	79	0.000000	NE
cds_SP5448_01065	4	27	17	275	0.429000	U
cds_SP5448_01070	50	86	6	102	0.000000	NE
cds_SP5448_01075	47	80	4	29	0.000000	NE
cds_SP5448_01085	6	75	27	460	0.994000	E
cds_SP5448_01090	66	128	8	124	0.000000	NE
cds_SP5448_01095	33	46	3	36	0.000000	NE
cds_SP5448_01100	22	32	2	16	0.000000	NE
cds_SP5448_01105	1	3	2	66	-1.000000	S
cds_SP5448_01115	27	57	6	78	0.000000	NE
cds_SP5448_01120	6	58	19	208	0.001000	NE
cds_SP5448_01125	6	70	27	410	0.991000	U
cds_SP5448_01130	12	35	8	77	0.000000	NE
cds_SP5448_01135	38	115	10	189	0.000000	NE
cds_SP5448_01140	30	105	17	338	0.342000	U
cds_SP5448_01145	18	40	3	62	0.000000	NE
cds_SP5448_01150	7	26	13	186	0.001000	NE
cds_SP5448_01155	26	75	10	116	0.001000	NE
cds_SP5448_01160	2	27	25	463	0.999000	E
cds_SP5448_01165	24	50	5	50	0.000000	NE
cds_SP5448_01170	8	80	36	715	1.000000	E
cds_SP5448_01175	63	122	7	98	0.000000	NE
cds_SP5448_01180	63	131	8	123	0.000000	NE
cds_SP5448_01185	36	61	4	39	0.000000	NE
cds_SP5448_01190	2	19	8	162	0.001000	NE
cds_SP5448_01195	12	47	8	174	0.000000	NE
cds_SP5448_01200	5	48	15	317	0.476000	U
cds_SP5448_01205	3	11	7	100	-1.000000	S
cds_SP5448_01210	16	41	5	101	0.000000	NE
cds_SP5448_01215	25	67	5	99	0.000000	NE
cds_SP5448_01220	27	61	6	89	0.000000	NE
cds_SP5448_01225	20	50	7	152	0.000000	NE
cds_SP5448_01230	22	54	8	120	0.000000	NE
cds_SP5448_01235	33	68	5	66	0.000000	NE
cds_SP5448_01240	32	65	5	61	0.000000	NE
cds_SP5448_01245	28	53	10	201	0.001000	NE
cds_SP5448_01250	17	44	8	68	0.000000	NE
cds_SP5448_01255	16	35	7	100	0.000000	NE
cds_SP5448_01260	7	38	15	339	0.618000	U
cds_SP5448_01270	7	56	22	422	0.970000	U
cds_SP5448_01275	2	35	16	338	0.800000	U
cds_SP5448_01280	5	44	17	260	0.066000	U
cds_SP5448_01285	20	75	10	145	0.001000	NE
cds_SP5448_01290	36	71	7	85	0.000000	NE
cds_SP5448_01295	17	56	9	133	0.000000	NE
cds_SP5448_01300	82	205	8	146	0.000000	NE
cds_SP5448_01305	2	28	12	185	0.001000	NE
cds_SP5448_01310	1	30	29	462	0.998000	E
cds_SP5448_01315	4	89	38	791	1.000000	E
cds_SP5448_01320	1	59	46	811	1.000000	E
cds_SP5448_01330	2	30	13	343	0.580000	U
cds_SP5448_01335	2	105	85	1303	1.000000	E
cds_SP5448_01340	70	131	5	35	0.000000	NE
cds_SP5448_01345	28	65	6	73	0.000000	NE
cds_SP5448_01350	10	46	10	152	0.001000	NE
cds_SP5448_01355	5	92	40	526	1.000000	E
cds_SP5448_01365	4	49	22	335	0.951000	U
cds_SP5448_01370	6	76	21	277	0.240000	U
cds_SP5448_01375	2	62	37	888	1.000000	E
cds_SP5448_01380	2	23	21	442	0.995000	E
cds_SP5448_01385	1	87	86	1384	1.000000	E
cds_SP5448_01390	62	100	4	53	0.000000	NE
cds_SP5448_01395	59	111	8	79	0.000000	NE
cds_SP5448_01400	43	110	7	85	0.000000	NE
cds_SP5448_01405	54	133	15	221	0.001000	NE
cds_SP5448_01410	29	76	11	186	0.001000	NE
cds_SP5448_01415	27	60	5	75	0.000000	NE
cds_SP5448_01420	18	54	7	93	0.000000	NE
cds_SP5448_01425	4	6	2	23	-1.000000	S
cds_SP5448_01435	61	91	4	46	0.000000	NE
cds_SP5448_01440	1	2	1	2	-1.000000	S
cds_SP5448_01445	92	186	10	165	0.000000	NE
cds_SP5448_01450	8	11	2	10	-1.000000	S
cds_SP5448_01455	3	7	2	13	-1.000000	S
cds_SP5448_01460	4	7	3	34	-1.000000	S
cds_SP5448_01465	25	44	5	42	0.000000	NE
cds_SP5448_01470	19	55	5	72	0.000000	NE
cds_SP5448_01475	7	76	21	242	0.016000	NE
cds_SP5448_01480	12	31	5	57	0.000000	NE
cds_SP5448_01485	18	41	4	39	0.000000	NE
cds_SP5448_01490	22	69	7	81	0.000000	NE
cds_SP5448_01495	12	59	9	136	0.000000	NE
cds_SP5448_01500	6	30	7	50	0.000000	NE
cds_SP5448_01505	39	91	5	141	0.000000	NE
cds_SP5448_01510	20	61	13	120	0.001000	NE
cds_SP5448_01515	1	3	1	2	-1.000000	S
cds_SP5448_01520	1	48	28	491	0.997000	E
cds_SP5448_01525	4	16	9	84	0.001000	NE
cds_SP5448_01530	56	77	3	36	0.000000	NE
cds_SP5448_01540	2	24	11	134	0.001000	NE
cds_SP5448_01545	9	85	17	251	0.004000	NE
