name,type,original_reads,reads,one_hits,failed,samples,rpm,count_table
hpgl0875,v0M1,0,10982715,10404377,208878,369460,0.0961133953527443,hpgl0875-v0M1.count.xz
hpgl0875,def,0,10982715,10880742,101973,0,0.0919054968861499,hpgl0875-def.count.xz
