# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0868-v0M1_gene_tas.txt -m 1 -s 1000
#FDR Corrected thresholds: 0.992 0.044
#MH Acceptance-Rate:	39.07%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.655231
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	5	106	49	608	1.000000	E
cds_SP5448_00010	1	102	79	866	1.000000	E
cds_SP5448_00015	1	15	14	174	0.951000	U
cds_SP5448_00020	9	80	23	266	0.091000	U
cds_SP5448_00025	4	56	27	205	0.004000	NE
cds_SP5448_00030	94	265	9	161	0.000000	NE
cds_SP5448_00035	10	30	5	43	0.000000	NE
cds_SP5448_00040	2	30	15	146	0.001000	NE
cds_SP5448_00050	34	128	10	74	0.000000	NE
cds_SP5448_00055	4	130	64	522	1.000000	E
cds_SP5448_00060	1	55	39	343	1.000000	E
cds_SP5448_00065	6	138	40	697	1.000000	E
cds_SP5448_00070	22	156	42	338	0.996000	E
cds_SP5448_00080	61	91	3	40	0.000000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	78	186	9	142	0.000000	NE
cds_SP5448_00095	9	11	1	2	-1.000000	S
cds_SP5448_00100	2	4	1	2	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	2	5	3	47	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	2	2	0	0	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	2	6	3	34	-1.000000	S
cds_SP5448_00140	2	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	3	5	1	2	-1.000000	S
cds_SP5448_00165	2	2	0	0	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	2	87	73	1034	1.000000	E
cds_SP5448_00190	3	61	41	622	1.000000	E
cds_SP5448_00195	6	65	13	165	0.001000	NE
cds_SP5448_00200	5	86	36	369	0.997000	E
cds_SP5448_00205	3	22	9	89	0.001000	NE
cds_SP5448_00210	12	48	7	71	0.000000	NE
cds_SP5448_00215	41	171	12	164	0.001000	NE
cds_SP5448_00220	37	95	7	87	0.000000	NE
cds_SP5448_00225	15	49	7	145	0.000000	NE
cds_SP5448_00230	10	29	7	157	0.000000	NE
cds_SP5448_00235	26	61	9	213	0.000000	NE
cds_SP5448_00240	39	92	6	65	0.000000	NE
cds_SP5448_00245	29	58	6	92	0.000000	NE
cds_SP5448_00250	5	17	6	144	0.000000	NE
cds_SP5448_00255	19	38	5	120	0.000000	NE
cds_SP5448_00260	73	173	8	47	0.000000	NE
cds_SP5448_00265	14	57	10	87	0.001000	NE
cds_SP5448_00270	40	90	7	37	0.000000	NE
cds_SP5448_00280	11	78	22	253	0.022000	NE
cds_SP5448_00285	19	41	5	62	0.000000	NE
cds_SP5448_00290	2	38	21	217	0.004000	NE
cds_SP5448_00295	8	150	72	825	1.000000	E
cds_SP5448_00300	46	148	10	110	0.000000	NE
cds_SP5448_00305	32	67	11	133	0.001000	NE
cds_SP5448_00310	48	106	6	45	0.000000	NE
cds_SP5448_00315	0	13	13	288	0.979000	U
cds_SP5448_00320	0	31	31	613	1.000000	E
cds_SP5448_00325	0	31	31	613	0.999000	E
cds_SP5448_00330	0	15	15	287	0.994000	E
cds_SP5448_00335	2	47	30	479	0.993000	E
cds_SP5448_00340	0	14	14	273	0.982000	U
cds_SP5448_00345	1	20	16	299	0.929000	U
cds_SP5448_00350	1	34	27	525	0.997000	E
cds_SP5448_00355	0	27	27	409	0.998000	E
cds_SP5448_00360	0	7	7	192	0.874000	U
cds_SP5448_00365	1	22	18	187	0.146000	U
cds_SP5448_00370	0	21	21	333	0.995000	E
cds_SP5448_00375	0	22	22	298	1.000000	E
cds_SP5448_00380	1	34	22	303	0.925000	U
cds_SP5448_00385	0	10	10	180	0.951000	U
cds_SP5448_00390	1	24	12	149	0.001000	NE
cds_SP5448_00395	0	36	36	528	1.000000	E
cds_SP5448_00400	1	19	17	296	0.937000	U
cds_SP5448_00405	0	25	25	486	0.996000	E
cds_SP5448_00410	2	16	9	94	0.003000	NE
cds_SP5448_00415	0	29	29	424	0.999000	E
cds_SP5448_00420	3	117	50	597	1.000000	E
cds_SP5448_00425	4	46	19	229	0.003000	NE
cds_SP5448_00430	1	15	13	169	0.885000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.998000	E
cds_SP5448_00445	1	19	15	289	0.710000	U
cds_SP5448_00450	1	67	52	714	1.000000	E
cds_SP5448_00455	1	23	21	370	0.988000	U
cds_SP5448_00465	61	91	3	40	0.000000	NE
