# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0885-v0M1_gene_tas.txt -m 2 -s 1000
#FDR Corrected thresholds: 0.989 0.046
#MH Acceptance-Rate:	40.11%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.650975
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	1	106	105	1308	1.000000	E
cds_SP5448_00010	0	102	102	1119	1.000000	E
cds_SP5448_00015	1	15	14	174	0.962000	U
cds_SP5448_00020	11	80	20	245	0.008000	NE
cds_SP5448_00025	0	56	56	565	1.000000	E
cds_SP5448_00030	86	265	20	273	0.007000	NE
cds_SP5448_00035	8	30	6	46	0.000000	NE
cds_SP5448_00040	4	30	15	146	0.001000	NE
cds_SP5448_00050	45	128	6	50	0.000000	NE
cds_SP5448_00055	3	130	70	586	1.000000	E
cds_SP5448_00060	0	55	55	528	1.000000	E
cds_SP5448_00065	5	138	130	1863	1.000000	E
cds_SP5448_00070	14	156	47	362	1.000000	E
cds_SP5448_00080	58	91	4	46	0.000000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	78	186	7	109	0.000000	NE
cds_SP5448_00095	8	11	1	2	-1.000000	S
cds_SP5448_00100	2	4	1	2	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	3	5	2	31	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	2	2	0	0	-1.000000	S
cds_SP5448_00130	1	3	1	2	-1.000000	S
cds_SP5448_00135	3	6	3	34	-1.000000	S
cds_SP5448_00140	2	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	2	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	2	87	62	846	1.000000	E
cds_SP5448_00190	0	61	61	956	1.000000	E
cds_SP5448_00195	5	65	23	226	0.007000	NE
cds_SP5448_00200	2	86	52	543	1.000000	E
cds_SP5448_00205	1	22	14	131	0.014000	NE
cds_SP5448_00210	11	48	11	282	0.028000	NE
cds_SP5448_00215	36	171	15	299	0.016000	NE
cds_SP5448_00220	32	95	10	155	0.001000	NE
cds_SP5448_00225	13	49	8	250	0.000000	NE
cds_SP5448_00230	10	29	5	44	0.000000	NE
cds_SP5448_00235	26	61	5	83	0.000000	NE
cds_SP5448_00240	42	92	5	49	0.000000	NE
cds_SP5448_00245	29	58	3	55	0.000000	NE
cds_SP5448_00250	3	17	7	230	0.001000	NE
cds_SP5448_00255	17	38	8	263	0.000000	NE
cds_SP5448_00260	85	173	8	47	0.000000	NE
cds_SP5448_00265	14	57	11	241	0.001000	NE
cds_SP5448_00270	33	90	10	78	0.001000	NE
cds_SP5448_00280	7	78	15	182	0.001000	NE
cds_SP5448_00285	21	41	5	32	0.000000	NE
cds_SP5448_00290	2	38	21	217	0.013000	NE
cds_SP5448_00295	5	150	45	515	1.000000	E
cds_SP5448_00300	40	148	9	191	0.000000	NE
cds_SP5448_00305	27	67	4	42	0.000000	NE
cds_SP5448_00310	50	106	6	45	0.000000	NE
cds_SP5448_00315	1	13	11	202	0.006000	NE
cds_SP5448_00320	0	31	31	613	1.000000	E
cds_SP5448_00325	0	31	31	613	1.000000	E
cds_SP5448_00330	0	15	15	287	0.986000	U
cds_SP5448_00335	1	47	40	650	1.000000	E
cds_SP5448_00340	0	14	14	273	0.982000	U
cds_SP5448_00345	1	20	16	299	0.954000	U
cds_SP5448_00350	0	34	34	640	1.000000	E
cds_SP5448_00355	0	27	27	409	0.996000	E
cds_SP5448_00360	0	7	7	192	0.883000	U
cds_SP5448_00365	0	22	22	252	0.999000	E
cds_SP5448_00370	0	21	21	333	0.993000	E
cds_SP5448_00375	0	22	22	298	0.997000	E
cds_SP5448_00380	1	34	22	303	0.934000	U
cds_SP5448_00385	0	10	10	180	0.952000	U
cds_SP5448_00390	2	24	11	208	0.001000	NE
cds_SP5448_00395	4	36	30	490	1.000000	E
cds_SP5448_00400	1	19	16	282	0.800000	U
cds_SP5448_00405	0	25	25	486	0.997000	E
cds_SP5448_00410	1	16	9	94	0.004000	NE
cds_SP5448_00415	1	29	27	397	0.999000	E
cds_SP5448_00420	0	117	117	1297	1.000000	E
cds_SP5448_00425	4	46	18	224	0.002000	NE
cds_SP5448_00430	0	15	15	181	0.988000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.998000	E
cds_SP5448_00445	0	19	19	378	0.983000	U
cds_SP5448_00450	1	67	52	714	1.000000	E
cds_SP5448_00455	0	23	23	380	0.995000	E
cds_SP5448_00465	57	91	4	90	0.000000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	79	186	7	81	0.000000	NE
cds_SP5448_00480	8	11	1	2	-1.000000	S
cds_SP5448_00485	1	3	1	2	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	0	5	5	55	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	2	5	3	40	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	2	2	0	0	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	2	12	9	110	0.048000	U
cds_SP5448_00550	6	19	4	68	0.000000	NE
cds_SP5448_00555	7	14	5	99	0.000000	NE
cds_SP5448_00560	4	47	21	165	0.001000	NE
cds_SP5448_00565	13	42	7	121	0.000000	NE
cds_SP5448_00570	20	69	9	57	0.000000	NE
cds_SP5448_00575	11	25	6	100	0.000000	NE
cds_SP5448_00580	1	76	75	1254	1.000000	E
cds_SP5448_00585	19	170	23	332	0.532000	U
cds_SP5448_00590	1	159	127	2737	1.000000	E
cds_SP5448_00595	4	187	78	1679	1.000000	E
cds_SP5448_00600	9	29	13	185	0.001000	NE
cds_SP5448_00605	23	73	11	133	0.001000	NE
cds_SP5448_00610	33	86	9	56	0.000000	NE
cds_SP5448_00615	11	26	4	34	0.000000	NE
cds_SP5448_00620	10	33	6	67	0.000000	NE
cds_SP5448_00625	6	23	13	140	0.001000	NE
cds_SP5448_00630	25	41	4	43	0.000000	NE
cds_SP5448_00635	19	28	4	43	0.000000	NE
cds_SP5448_00640	29	58	6	96	0.000000	NE
cds_SP5448_00645	2	77	63	880	1.000000	E
cds_SP5448_00650	13	26	4	46	0.000000	NE
cds_SP5448_00655	23	50	7	115	0.000000	NE
cds_SP5448_00660	18	62	12	256	0.003000	NE
cds_SP5448_00670	13	22	4	50	0.000000	NE
cds_SP5448_00675	8	25	10	119	0.001000	NE
cds_SP5448_00680	10	28	4	79	0.000000	NE
cds_SP5448_00685	12	32	14	180	0.001000	NE
cds_SP5448_00690	16	37	5	93	0.000000	NE
cds_SP5448_00695	18	43	6	153	0.000000	NE
cds_SP5448_00700	10	49	8	123	0.000000	NE
cds_SP5448_00705	45	115	9	119	0.000000	NE
cds_SP5448_00710	91	203	10	129	0.000000	NE
cds_SP5448_00715	13	56	9	69	0.000000	NE
cds_SP5448_00720	28	85	11	118	0.001000	NE
cds_SP5448_00725	18	66	11	146	0.001000	NE
cds_SP5448_00730	25	63	6	44	0.000000	NE
cds_SP5448_00735	39	84	5	124	0.000000	NE
cds_SP5448_00740	2	10	4	52	0.000000	NE
cds_SP5448_00745	12	20	3	13	0.000000	NE
cds_SP5448_00750	30	63	9	122	0.000000	NE
cds_SP5448_00755	21	65	9	105	0.000000	NE
cds_SP5448_00760	37	97	7	134	0.000000	NE
cds_SP5448_00765	30	68	7	65	0.000000	NE
cds_SP5448_00770	28	77	10	148	0.001000	NE
cds_SP5448_00775	22	41	3	16	0.000000	NE
cds_SP5448_00780	20	48	7	96	0.000000	NE
cds_SP5448_00785	30	59	5	55	0.000000	NE
cds_SP5448_00790	7	22	7	72	0.000000	NE
cds_SP5448_00795	29	76	7	103	0.000000	NE
cds_SP5448_00800	7	27	6	101	0.000000	NE
cds_SP5448_00805	66	168	9	67	0.000000	NE
cds_SP5448_00810	8	37	13	152	0.001000	NE
cds_SP5448_00815	15	38	6	57	0.000000	NE
cds_SP5448_00820	31	75	5	48	0.000000	NE
cds_SP5448_00825	13	26	6	78	0.000000	NE
cds_SP5448_00830	33	92	13	269	0.003000	NE
cds_SP5448_00835	40	95	6	93	0.000000	NE
cds_SP5448_00840	14	42	7	96	0.000000	NE
cds_SP5448_00845	30	75	6	77	0.000000	NE
cds_SP5448_00850	25	62	7	98	0.000000	NE
cds_SP5448_00855	27	71	10	97	0.001000	NE
cds_SP5448_00860	15	57	14	316	0.189000	U
cds_SP5448_00865	3	23	20	500	0.984000	U
cds_SP5448_00870	40	97	10	133	0.001000	NE
cds_SP5448_00875	8	54	20	192	0.001000	NE
cds_SP5448_00880	56	126	8	140	0.000000	NE
cds_SP5448_00885	16	35	7	81	0.000000	NE
cds_SP5448_00890	3	15	7	117	0.000000	NE
cds_SP5448_00900	4	11	5	40	-1.000000	S
cds_SP5448_00905	37	78	5	37	0.000000	NE
cds_SP5448_00910	3	115	49	928	1.000000	E
cds_SP5448_00915	32	71	8	166	0.000000	NE
cds_SP5448_00920	6	17	4	54	0.000000	NE
cds_SP5448_00925	15	33	4	54	0.000000	NE
cds_SP5448_00930	9	28	8	202	0.000000	NE
cds_SP5448_00935	16	40	8	147	0.000000	NE
cds_SP5448_00940	14	32	3	23	0.000000	NE
cds_SP5448_00945	49	127	8	67	0.000000	NE
cds_SP5448_00950	27	74	7	140	0.000000	NE
cds_SP5448_00955	24	63	6	74	0.000000	NE
cds_SP5448_00960	38	106	7	121	0.000000	NE
cds_SP5448_00965	13	160	40	785	0.999000	E
cds_SP5448_00970	10	24	4	46	0.000000	NE
cds_SP5448_00975	12	34	5	72	0.000000	NE
cds_SP5448_00980	9	16	3	59	0.000000	NE
cds_SP5448_00985	54	128	6	68	0.000000	NE
cds_SP5448_00990	25	48	8	129	0.000000	NE
cds_SP5448_00995	5	8	1	2	-1.000000	S
cds_SP5448_01000	10	16	3	28	0.000000	NE
cds_SP5448_01005	25	49	5	28	0.000000	NE
cds_SP5448_01010	3	10	2	13	0.000000	NE
cds_SP5448_01015	26	76	8	75	0.000000	NE
cds_SP5448_01020	24	53	5	48	0.000000	NE
cds_SP5448_01025	26	58	7	116	0.000000	NE
cds_SP5448_01030	23	39	3	26	0.000000	NE
cds_SP5448_01035	30	74	10	179	0.001000	NE
cds_SP5448_01045	24	60	7	117	0.000000	NE
cds_SP5448_01050	6	18	5	129	0.000000	NE
cds_SP5448_01055	11	40	10	86	0.001000	NE
cds_SP5448_01060	17	45	7	110	0.000000	NE
cds_SP5448_01065	3	27	22	414	0.984000	U
cds_SP5448_01070	45	86	7	146	0.000000	NE
cds_SP5448_01075	42	80	6	55	0.000000	NE
cds_SP5448_01085	2	75	65	1115	1.000000	E
cds_SP5448_01090	57	128	9	131	0.000000	NE
cds_SP5448_01095	24	46	5	48	0.000000	NE
cds_SP5448_01100	19	32	3	29	0.000000	NE
cds_SP5448_01105	1	3	2	66	-1.000000	S
cds_SP5448_01115	21	57	6	78	0.000000	NE
cds_SP5448_01120	1	58	49	698	1.000000	E
cds_SP5448_01125	2	70	43	618	1.000000	E
cds_SP5448_01130	9	35	11	141	0.001000	NE
cds_SP5448_01135	32	115	15	344	0.117000	U
cds_SP5448_01140	29	105	12	189	0.001000	NE
cds_SP5448_01145	12	40	5	90	0.000000	NE
cds_SP5448_01150	6	26	9	114	0.001000	NE
cds_SP5448_01155	23	75	7	93	0.000000	NE
cds_SP5448_01160	1	27	26	483	0.999000	E
cds_SP5448_01165	24	50	4	48	0.000000	NE
cds_SP5448_01170	4	80	55	1033	1.000000	E
cds_SP5448_01175	58	122	7	98	0.000000	NE
cds_SP5448_01180	63	131	7	110	0.000000	NE
cds_SP5448_01185	34	61	4	24	0.000000	NE
cds_SP5448_01190	0	19	19	347	0.991000	E
cds_SP5448_01195	11	47	8	135	0.000000	NE
cds_SP5448_01200	3	48	28	609	0.996000	E
cds_SP5448_01205	2	11	8	110	-1.000000	S
cds_SP5448_01210	17	41	5	41	0.000000	NE
cds_SP5448_01215	23	67	10	169	0.001000	NE
cds_SP5448_01220	27	61	7	92	0.000000	NE
cds_SP5448_01225	17	50	6	59	0.000000	NE
cds_SP5448_01230	20	54	8	120	0.000000	NE
cds_SP5448_01235	29	68	5	64	0.000000	NE
cds_SP5448_01240	32	65	7	75	0.000000	NE
cds_SP5448_01245	22	53	6	128	0.000000	NE
cds_SP5448_01250	19	44	5	84	0.000000	NE
cds_SP5448_01255	9	35	10	156	0.001000	NE
cds_SP5448_01260	7	38	14	292	0.111000	U
cds_SP5448_01270	1	56	52	798	1.000000	E
cds_SP5448_01275	1	35	26	552	0.995000	E
cds_SP5448_01280	6	44	20	290	0.686000	U
cds_SP5448_01285	21	75	10	145	0.001000	NE
cds_SP5448_01290	30	71	7	88	0.000000	NE
