# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0903-v0M1_gene_tas.txt -m 16 -s 1000
#FDR Corrected thresholds: 0.998 0.02
#MH Acceptance-Rate:	29.01%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.880630
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	0.995000	U
cds_SP5448_00010	0	102	102	1119	0.982000	U
cds_SP5448_00015	0	15	15	183	0.947000	U
cds_SP5448_00020	2	80	51	717	0.687000	U
cds_SP5448_00025	0	56	56	565	0.885000	U
cds_SP5448_00030	16	265	44	606	0.089000	U
cds_SP5448_00035	0	30	30	268	0.974000	U
cds_SP5448_00040	0	30	30	338	0.906000	U
cds_SP5448_00050	7	128	53	558	0.477000	U
cds_SP5448_00055	0	130	130	1266	0.980000	U
cds_SP5448_00060	0	55	55	528	0.899000	U
cds_SP5448_00065	0	138	138	1974	1.000000	E
cds_SP5448_00070	1	156	146	1395	0.988000	U
cds_SP5448_00080	25	91	12	210	0.001000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	31	186	15	216	0.001000	NE
cds_SP5448_00095	3	11	3	15	-1.000000	S
cds_SP5448_00100	2	4	1	2	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	2	5	3	47	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	2	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	0.982000	U
cds_SP5448_00190	0	61	61	956	0.939000	U
cds_SP5448_00195	0	65	65	751	0.932000	U
cds_SP5448_00200	0	86	86	991	0.977000	U
cds_SP5448_00205	0	22	22	210	0.957000	U
cds_SP5448_00210	1	48	42	660	0.781000	U
cds_SP5448_00215	5	171	70	1655	0.991000	U
cds_SP5448_00220	11	95	26	356	0.090000	U
cds_SP5448_00225	6	49	11	158	0.001000	NE
cds_SP5448_00230	2	29	16	272	0.030000	U
cds_SP5448_00235	11	61	13	303	0.046000	U
cds_SP5448_00240	17	92	14	184	0.001000	NE
cds_SP5448_00245	13	58	9	173	0.000000	NE
cds_SP5448_00250	2	17	8	277	0.069000	U
cds_SP5448_00255	12	38	8	263	0.006000	NE
cds_SP5448_00260	36	173	15	177	0.001000	NE
cds_SP5448_00265	3	57	20	552	0.164000	U
cds_SP5448_00270	10	90	25	237	0.003000	NE
cds_SP5448_00280	1	78	53	634	0.694000	U
cds_SP5448_00285	6	41	19	217	0.001000	NE
cds_SP5448_00290	0	38	38	386	0.867000	U
cds_SP5448_00295	0	150	150	1768	0.999000	E
cds_SP5448_00300	11	148	50	828	0.401000	U
cds_SP5448_00305	8	67	28	471	0.235000	U
cds_SP5448_00310	23	106	18	195	0.001000	NE
cds_SP5448_00315	0	13	13	288	0.943000	U
cds_SP5448_00320	0	31	31	613	0.715000	U
cds_SP5448_00325	0	31	31	613	0.684000	U
cds_SP5448_00330	0	15	15	287	0.942000	U
cds_SP5448_00335	0	47	47	828	0.873000	U
cds_SP5448_00340	0	14	14	273	0.941000	U
cds_SP5448_00345	0	20	20	333	0.876000	U
cds_SP5448_00350	0	34	34	640	0.726000	U
cds_SP5448_00355	0	27	27	409	0.760000	U
cds_SP5448_00360	0	7	7	192	0.938000	U
cds_SP5448_00365	0	22	22	252	0.952000	U
cds_SP5448_00370	0	21	21	333	0.894000	U
cds_SP5448_00375	0	22	22	298	0.940000	U
