name,type,original_reads,reads,one_hits,failed,samples,rpm,count_table
hpgl0881,def,0,9552173,9517197,34976,0,0.105072953727868,hpgl0881-def.count.xz
hpgl0881,v0M1,0,9552173,8965783,228779,357611,0.111535155379067,hpgl0881-v0M1.count.xz
