name,type,original_reads,reads,one_hits,failed,samples,rpm,count_table
hpgl0887,v0M1,0,8661633,8203582,192726,265325,0.121897970910756,hpgl0887-v0M1.count.xz
hpgl0887,def,0,8661633,8606647,54986,0,0.116189266272917,hpgl0887-def.count.xz
