name,type,original_reads,reads,one_hits,failed,samples,rpm,count_table
hpgl0909,def,0,9458262,9374238,84024,0,0.106675337238077,hpgl0909-def.count.xz
hpgl0909,v0M1,0,9458262,9023310,265126,169826,0.110824076752323,hpgl0909-v0M1.count.xz
