# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0882-v0M1_gene_tas.txt -m 8 -s 1000
#FDR Corrected thresholds: 0.993 0.032
#MH Acceptance-Rate:	33.07%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.824745
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	1.000000	E
cds_SP5448_00010	0	102	102	1119	0.999000	E
cds_SP5448_00015	1	15	14	174	0.841000	U
cds_SP5448_00020	3	80	50	706	0.961000	U
cds_SP5448_00025	0	56	56	565	0.991000	U
cds_SP5448_00030	41	265	27	346	0.026000	NE
cds_SP5448_00035	5	30	9	76	0.001000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	8	128	41	467	0.602000	U
cds_SP5448_00055	0	130	130	1266	1.000000	E
cds_SP5448_00060	0	55	55	528	0.989000	U
cds_SP5448_00065	0	138	138	1974	1.000000	E
cds_SP5448_00070	5	156	74	796	0.990000	U
cds_SP5448_00080	32	91	12	210	0.001000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	27	186	19	287	0.007000	NE
cds_SP5448_00095	2	11	5	32	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	1	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	1.000000	E
cds_SP5448_00190	0	61	61	956	1.000000	E
cds_SP5448_00195	1	65	44	434	0.902000	U
cds_SP5448_00200	0	86	86	991	1.000000	E
cds_SP5448_00205	1	22	14	131	0.002000	NE
cds_SP5448_00210	4	48	27	498	0.588000	U
cds_SP5448_00215	20	171	16	363	0.019000	NE
cds_SP5448_00220	17	95	17	237	0.001000	NE
cds_SP5448_00225	8	49	8	250	0.001000	NE
cds_SP5448_00230	4	29	9	121	0.001000	NE
cds_SP5448_00235	13	61	15	311	0.042000	U
cds_SP5448_00240	21	92	10	128	0.001000	NE
cds_SP5448_00245	17	58	13	269	0.002000	NE
cds_SP5448_00250	1	17	15	468	0.553000	U
cds_SP5448_00255	15	38	8	263	0.005000	NE
cds_SP5448_00260	41	173	13	92	0.001000	NE
cds_SP5448_00265	3	57	20	552	0.164000	U
cds_SP5448_00270	16	90	19	152	0.001000	NE
cds_SP5448_00280	1	78	53	634	0.964000	U
cds_SP5448_00285	10	41	19	217	0.001000	NE
cds_SP5448_00290	1	38	21	217	0.001000	NE
cds_SP5448_00295	3	150	130	1520	1.000000	E
cds_SP5448_00300	14	148	37	614	0.344000	U
cds_SP5448_00305	13	67	12	141	0.001000	NE
cds_SP5448_00310	34	106	8	80	0.000000	NE
cds_SP5448_00315	0	13	13	288	0.926000	U
cds_SP5448_00320	0	31	31	613	0.882000	U
cds_SP5448_00325	0	31	31	613	0.862000	U
cds_SP5448_00330	0	15	15	287	0.931000	U
cds_SP5448_00335	0	47	47	828	0.991000	U
cds_SP5448_00340	0	14	14	273	0.936000	U
cds_SP5448_00345	0	20	20	333	0.906000	U
cds_SP5448_00350	0	34	34	640	0.898000	U
cds_SP5448_00355	0	27	27	409	0.877000	U
cds_SP5448_00360	0	7	7	192	0.916000	U
cds_SP5448_00365	0	22	22	252	0.971000	U
cds_SP5448_00370	0	21	21	333	0.905000	U
cds_SP5448_00375	0	22	22	298	0.966000	U
cds_SP5448_00380	1	34	22	303	0.388000	U
cds_SP5448_00385	0	10	10	180	0.910000	U
cds_SP5448_00390	0	24	24	393	0.854000	U
cds_SP5448_00395	0	36	36	528	0.919000	U
cds_SP5448_00400	0	19	19	342	0.875000	U
cds_SP5448_00405	0	25	25	486	0.820000	U
cds_SP5448_00410	0	16	16	171	0.946000	U
cds_SP5448_00415	0	29	29	424	0.880000	U
cds_SP5448_00420	0	117	117	1297	1.000000	E
cds_SP5448_00425	0	46	46	628	0.986000	U
cds_SP5448_00430	0	15	15	181	0.941000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.885000	U
cds_SP5448_00445	0	19	19	378	0.804000	U
cds_SP5448_00450	0	67	67	919	0.999000	E
cds_SP5448_00455	0	23	23	380	0.865000	U
cds_SP5448_00465	29	91	12	210	0.001000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	30	186	17	245	0.002000	NE
cds_SP5448_00480	3	11	3	15	-1.000000	S
cds_SP5448_00485	0	3	3	59	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	0	5	5	55	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	2	5	3	40	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	0	2	2	56	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	0	12	12	164	0.912000	U
cds_SP5448_00550	3	19	7	54	0.000000	NE
cds_SP5448_00555	3	14	10	149	0.005000	NE
cds_SP5448_00560	1	47	25	258	0.027000	NE
cds_SP5448_00565	2	42	23	477	0.457000	U
cds_SP5448_00570	7	69	17	183	0.001000	NE
cds_SP5448_00575	5	25	10	156	0.001000	NE
cds_SP5448_00580	1	76	75	1254	1.000000	E
cds_SP5448_00585	6	170	67	918	0.988000	U
cds_SP5448_00590	0	159	159	3545	1.000000	E
cds_SP5448_00595	1	187	114	2184	1.000000	E
cds_SP5448_00600	5	29	18	217	0.002000	NE
cds_SP5448_00605	7	73	21	242	0.001000	NE
cds_SP5448_00610	18	86	15	204	0.001000	NE
cds_SP5448_00615	6	26	9	107	0.001000	NE
cds_SP5448_00620	4	33	9	110	0.001000	NE
cds_SP5448_00625	3	23	15	170	0.020000	NE
cds_SP5448_00630	12	41	8	94	0.000000	NE
cds_SP5448_00635	15	28	4	43	0.000000	NE
cds_SP5448_00640	23	58	8	109	0.000000	NE
cds_SP5448_00645	1	77	71	1010	0.998000	E
cds_SP5448_00650	6	26	7	82	0.000000	NE
cds_SP5448_00655	11	50	11	172	0.001000	NE
cds_SP5448_00660	6	62	27	396	0.303000	U
cds_SP5448_00670	7	22	4	50	0.000000	NE
cds_SP5448_00675	2	25	22	274	0.762000	U
cds_SP5448_00680	7	28	5	58	0.000000	NE
cds_SP5448_00685	8	32	16	201	0.001000	NE
cds_SP5448_00690	7	37	18	248	0.005000	NE
cds_SP5448_00695	9	43	8	83	0.000000	NE
cds_SP5448_00700	4	49	25	478	0.410000	U
cds_SP5448_00705	13	115	26	308	0.085000	U
cds_SP5448_00710	46	203	11	167	0.001000	NE
cds_SP5448_00715	7	56	22	224	0.002000	NE
cds_SP5448_00720	9	85	33	367	0.447000	U
cds_SP5448_00725	7	66	17	202	0.001000	NE
cds_SP5448_00730	12	63	10	138	0.001000	NE
cds_SP5448_00735	20	84	14	224	0.001000	NE
cds_SP5448_00740	2	10	4	52	0.000000	NE
cds_SP5448_00745	4	20	8	138	0.001000	NE
cds_SP5448_00750	11	63	14	177	0.001000	NE
cds_SP5448_00755	12	65	21	234	0.001000	NE
cds_SP5448_00760	11	97	20	250	0.001000	NE
cds_SP5448_00765	14	68	10	159	0.001000	NE
cds_SP5448_00770	12	77	12	150	0.001000	NE
cds_SP5448_00775	10	41	17	337	0.240000	U
cds_SP5448_00780	8	48	7	87	0.000000	NE
cds_SP5448_00785	18	59	7	76	0.000000	NE
cds_SP5448_00790	5	22	7	72	0.000000	NE
cds_SP5448_00795	13	76	16	217	0.001000	NE
cds_SP5448_00800	4	27	7	104	0.000000	NE
cds_SP5448_00805	38	168	13	217	0.001000	NE
cds_SP5448_00810	6	37	13	152	0.001000	NE
cds_SP5448_00815	5	38	14	216	0.001000	NE
cds_SP5448_00820	16	75	15	207	0.001000	NE
cds_SP5448_00825	8	26	7	100	0.000000	NE
cds_SP5448_00830	17	92	14	258	0.002000	NE
cds_SP5448_00835	24	95	9	147	0.000000	NE
cds_SP5448_00840	7	42	16	285	0.064000	U
cds_SP5448_00845	14	75	17	235	0.001000	NE
cds_SP5448_00850	8	62	20	324	0.155000	U
cds_SP5448_00855	14	71	14	321	0.047000	U
cds_SP5448_00860	5	57	17	288	0.024000	NE
cds_SP5448_00865	1	23	21	517	0.691000	U
cds_SP5448_00870	23	97	16	226	0.001000	NE
cds_SP5448_00875	3	54	21	197	0.001000	NE
cds_SP5448_00880	26	126	18	186	0.001000	NE
cds_SP5448_00885	9	35	6	79	0.000000	NE
cds_SP5448_00890	2	15	9	164	0.018000	NE
cds_SP5448_00900	0	11	11	118	-1.000000	S
cds_SP5448_00905	15	78	14	285	0.019000	NE
cds_SP5448_00910	0	115	115	2492	1.000000	E
cds_SP5448_00915	12	71	17	270	0.003000	NE
cds_SP5448_00920	5	17	6	64	0.000000	NE
cds_SP5448_00925	5	33	10	163	0.001000	NE
cds_SP5448_00930	2	28	15	420	0.275000	U
cds_SP5448_00935	11	40	8	147	0.000000	NE
cds_SP5448_00940	5	32	13	316	0.172000	U
cds_SP5448_00945	28	127	13	170	0.001000	NE
cds_SP5448_00950	14	74	23	275	0.011000	NE
cds_SP5448_00955	6	63	17	222	0.001000	NE
