# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0877-v0M1_gene_tas.txt -m 32 -s 1000
#FDR Corrected thresholds: 0.999 0.014
#MH Acceptance-Rate:	23.94%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.915445
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	0.818000	U
cds_SP5448_00010	0	102	102	1119	0.717000	U
cds_SP5448_00015	0	15	15	183	0.948000	U
cds_SP5448_00020	0	80	80	1108	0.804000	U
cds_SP5448_00025	0	56	56	565	0.640000	U
cds_SP5448_00030	15	265	44	606	0.037000	U
cds_SP5448_00035	1	30	24	213	0.085000	U
cds_SP5448_00040	0	30	30	338	0.877000	U
cds_SP5448_00050	5	128	54	561	0.187000	U
cds_SP5448_00055	0	130	130	1266	0.462000	U
cds_SP5448_00060	0	55	55	528	0.665000	U
cds_SP5448_00065	0	138	138	1974	0.986000	U
cds_SP5448_00070	0	156	156	1452	0.178000	U
cds_SP5448_00080	20	91	12	210	0.001000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	14	186	38	685	0.073000	U
cds_SP5448_00095	1	11	7	61	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	1	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	0	6	6	69	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	0.832000	U
cds_SP5448_00190	0	61	61	956	0.740000	U
cds_SP5448_00195	0	65	65	751	0.619000	U
cds_SP5448_00200	0	86	86	991	0.697000	U
cds_SP5448_00205	0	22	22	210	0.950000	U
cds_SP5448_00210	1	48	42	660	0.579000	U
cds_SP5448_00215	4	171	81	1943	0.995000	U
cds_SP5448_00220	7	95	28	446	0.114000	U
cds_SP5448_00225	4	49	13	288	0.043000	U
cds_SP5448_00230	1	29	21	434	0.508000	U
cds_SP5448_00235	5	61	35	829	0.383000	U
cds_SP5448_00240	9	92	15	211	0.001000	NE
cds_SP5448_00245	6	58	24	565	0.233000	U
cds_SP5448_00250	1	17	15	468	0.632000	U
cds_SP5448_00255	8	38	8	263	0.005000	NE
cds_SP5448_00260	23	173	18	179	0.001000	NE
cds_SP5448_00265	2	57	26	702	0.298000	U
cds_SP5448_00270	6	90	40	348	0.174000	U
cds_SP5448_00280	1	78	53	634	0.380000	U
cds_SP5448_00285	5	41	20	223	0.001000	NE
cds_SP5448_00290	0	38	38	386	0.778000	U
cds_SP5448_00295	0	150	150	1768	0.805000	U
cds_SP5448_00300	8	148	50	828	0.195000	U
cds_SP5448_00305	8	67	28	471	0.211000	U
cds_SP5448_00310	19	106	18	195	0.001000	NE
cds_SP5448_00315	0	13	13	288	0.959000	U
cds_SP5448_00320	0	31	31	613	0.651000	U
cds_SP5448_00325	0	31	31	613	0.617000	U
cds_SP5448_00330	0	15	15	287	0.941000	U
cds_SP5448_00335	0	47	47	828	0.707000	U
cds_SP5448_00340	0	14	14	273	0.957000	U
cds_SP5448_00345	0	20	20	333	0.862000	U
cds_SP5448_00350	0	34	34	640	0.620000	U
cds_SP5448_00355	0	27	27	409	0.720000	U
cds_SP5448_00360	0	7	7	192	0.955000	U
cds_SP5448_00365	0	22	22	252	0.956000	U
cds_SP5448_00370	0	21	21	333	0.869000	U
cds_SP5448_00375	0	22	22	298	0.944000	U
cds_SP5448_00380	0	34	34	532	0.641000	U
cds_SP5448_00385	0	10	10	180	0.942000	U
cds_SP5448_00390	0	24	24	393	0.762000	U
cds_SP5448_00395	0	36	36	528	0.634000	U
cds_SP5448_00400	0	19	19	342	0.832000	U
cds_SP5448_00405	0	25	25	486	0.636000	U
cds_SP5448_00410	0	16	16	171	0.931000	U
cds_SP5448_00415	0	29	29	424	0.712000	U
cds_SP5448_00420	0	117	117	1297	0.731000	U
cds_SP5448_00425	0	46	46	628	0.648000	U
cds_SP5448_00430	0	15	15	181	0.954000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.826000	U
cds_SP5448_00445	0	19	19	378	0.778000	U
cds_SP5448_00450	0	67	67	919	0.755000	U
cds_SP5448_00455	0	23	23	380	0.765000	U
cds_SP5448_00465	20	91	12	210	0.001000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	14	186	38	685	0.071000	U
cds_SP5448_00480	1	11	7	61	-1.000000	S
cds_SP5448_00485	0	3	3	59	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	0	5	5	55	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	1	5	3	40	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	0	2	2	56	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	0	12	12	164	0.956000	U
cds_SP5448_00550	3	19	7	54	0.000000	NE
cds_SP5448_00555	0	14	14	222	0.948000	U
cds_SP5448_00560	0	47	47	433	0.733000	U
cds_SP5448_00565	1	42	40	686	0.616000	U
cds_SP5448_00570	1	69	39	451	0.307000	U
cds_SP5448_00575	1	25	24	372	0.734000	U
cds_SP5448_00580	0	76	76	1257	0.905000	U
cds_SP5448_00585	1	170	140	1869	0.941000	U
cds_SP5448_00590	0	159	159	3545	1.000000	E
cds_SP5448_00595	0	187	187	3631	1.000000	E
cds_SP5448_00600	3	29	22	271	0.120000	U
cds_SP5448_00605	3	73	34	436	0.218000	U
cds_SP5448_00610	9	86	27	258	0.002000	NE
cds_SP5448_00615	2	26	22	279	0.490000	U
cds_SP5448_00620	2	33	17	215	0.001000	NE
cds_SP5448_00625	1	23	20	192	0.169000	U
cds_SP5448_00630	3	41	24	258	0.015000	U
cds_SP5448_00635	6	28	9	94	0.001000	NE
cds_SP5448_00640	13	58	11	203	0.001000	NE
cds_SP5448_00645	1	77	71	1010	0.729000	U
cds_SP5448_00650	4	26	8	91	0.001000	NE
cds_SP5448_00655	5	50	16	263	0.007000	NE
cds_SP5448_00660	1	62	36	516	0.254000	U
cds_SP5448_00670	4	22	7	91	0.000000	NE
cds_SP5448_00675	1	25	22	274	0.663000	U
cds_SP5448_00680	3	28	13	316	0.336000	U
cds_SP5448_00685	2	32	18	212	0.001000	NE
cds_SP5448_00690	3	37	19	251	0.003000	NE
cds_SP5448_00695	5	43	19	365	0.209000	U
cds_SP5448_00700	3	49	25	478	0.250000	U
