name,type,original_reads,reads,one_hits,failed,samples,rpm,count_table
hpgl0901,v0M1,0,9484775,8786119,384441,314215,0.113815895277539,hpgl0901-v0M1.count.xz
hpgl0901,def,0,9484775,9295653,189122,0,0.107577165369663,hpgl0901-def.count.xz
