# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0880-v0M1_gene_tas.txt -m 1 -s 1000
#FDR Corrected thresholds: 0.991 0.048
#MH Acceptance-Rate:	39.82%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.640372
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	3	106	67	843	1.000000	E
cds_SP5448_00010	4	102	50	611	1.000000	E
cds_SP5448_00015	1	15	14	174	0.957000	U
cds_SP5448_00020	16	80	13	194	0.001000	NE
cds_SP5448_00025	3	56	28	324	0.993000	E
cds_SP5448_00030	101	265	20	273	0.005000	NE
cds_SP5448_00035	11	30	5	48	0.000000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	44	128	9	71	0.000000	NE
cds_SP5448_00055	7	130	43	493	1.000000	E
cds_SP5448_00060	1	55	42	414	1.000000	E
cds_SP5448_00065	6	138	61	1000	1.000000	E
cds_SP5448_00070	18	156	25	337	0.824000	U
cds_SP5448_00080	55	91	4	90	0.000000	NE
cds_SP5448_00085	1	2	1	2	-1.000000	S
cds_SP5448_00090	87	186	7	112	0.000000	NE
cds_SP5448_00095	8	11	1	2	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	2	5	3	47	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	1	3	1	2	-1.000000	S
cds_SP5448_00135	2	6	3	34	-1.000000	S
cds_SP5448_00140	2	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	2	6	3	31	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	3	5	1	2	-1.000000	S
cds_SP5448_00165	2	2	0	0	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	1	5	2	28	-1.000000	S
cds_SP5448_00185	3	87	34	553	1.000000	E
cds_SP5448_00190	6	61	25	353	0.960000	U
cds_SP5448_00195	7	65	18	194	0.001000	NE
cds_SP5448_00200	5	86	28	374	0.977000	U
cds_SP5448_00205	1	22	14	131	0.012000	NE
cds_SP5448_00210	18	48	5	42	0.000000	NE
cds_SP5448_00215	53	171	11	161	0.001000	NE
cds_SP5448_00220	37	95	15	215	0.001000	NE
cds_SP5448_00225	13	49	8	250	0.001000	NE
cds_SP5448_00230	8	29	5	44	0.000000	NE
cds_SP5448_00235	26	61	8	202	0.000000	NE
cds_SP5448_00240	46	92	5	49	0.000000	NE
cds_SP5448_00245	30	58	4	65	0.000000	NE
cds_SP5448_00250	5	17	6	144	0.000000	NE
cds_SP5448_00255	20	38	8	263	0.001000	NE
cds_SP5448_00260	76	173	8	47	0.000000	NE
cds_SP5448_00265	12	57	20	552	0.941000	U
cds_SP5448_00270	34	90	12	106	0.001000	NE
cds_SP5448_00280	5	78	32	325	0.991000	U
cds_SP5448_00285	21	41	5	62	0.000000	NE
cds_SP5448_00290	3	38	13	141	0.001000	NE
cds_SP5448_00295	10	150	50	597	1.000000	E
cds_SP5448_00300	50	148	9	191	0.000000	NE
cds_SP5448_00305	29	67	7	80	0.000000	NE
cds_SP5448_00310	53	106	5	76	0.000000	NE
cds_SP5448_00315	0	13	13	288	0.986000	U
cds_SP5448_00320	1	31	16	147	0.001000	NE
cds_SP5448_00325	0	31	31	613	1.000000	E
cds_SP5448_00330	0	15	15	287	0.994000	E
cds_SP5448_00335	3	47	25	406	0.983000	U
cds_SP5448_00340	0	14	14	273	0.993000	E
cds_SP5448_00345	1	20	16	299	0.947000	U
cds_SP5448_00350	3	34	22	444	0.982000	U
cds_SP5448_00355	0	27	27	409	0.998000	E
cds_SP5448_00360	1	7	3	30	0.000000	NE
cds_SP5448_00365	0	22	22	252	0.998000	E
cds_SP5448_00370	1	21	11	195	0.001000	NE
cds_SP5448_00375	1	22	20	241	0.657000	U
cds_SP5448_00380	2	34	15	195	0.001000	NE
cds_SP5448_00385	0	10	10	180	0.946000	U
cds_SP5448_00390	2	24	16	195	0.001000	NE
cds_SP5448_00395	2	36	23	311	0.971000	U
cds_SP5448_00400	1	19	16	282	0.833000	U
cds_SP5448_00405	0	25	25	486	0.999000	E
cds_SP5448_00410	0	16	16	171	0.989000	U
cds_SP5448_00415	1	29	27	397	0.997000	E
cds_SP5448_00420	4	117	52	617	1.000000	E
cds_SP5448_00425	5	46	18	216	0.002000	NE
cds_SP5448_00430	1	15	13	169	0.917000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.999000	E
cds_SP5448_00445	0	19	19	378	0.995000	E
cds_SP5448_00450	1	67	52	714	1.000000	E
cds_SP5448_00455	0	23	23	380	0.998000	E
cds_SP5448_00465	61	91	4	46	0.000000	NE
cds_SP5448_00470	1	2	1	2	-1.000000	S
cds_SP5448_00475	88	186	9	142	0.000000	NE
cds_SP5448_00480	8	11	1	2	-1.000000	S
cds_SP5448_00485	0	3	3	59	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	2	5	3	46	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	3	5	1	2	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	2	2	0	0	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	3	12	7	92	0.002000	NE
cds_SP5448_00550	8	19	3	39	0.000000	NE
cds_SP5448_00555	6	14	5	99	0.000000	NE
cds_SP5448_00560	9	47	11	91	0.001000	NE
cds_SP5448_00565	11	42	7	121	0.000000	NE
cds_SP5448_00570	22	69	7	71	0.000000	NE
cds_SP5448_00575	10	25	6	76	0.000000	NE
cds_SP5448_00580	5	76	43	697	1.000000	E
cds_SP5448_00585	26	170	29	344	0.907000	U
cds_SP5448_00590	3	159	59	1281	1.000000	E
cds_SP5448_00595	12	187	57	1209	1.000000	E
cds_SP5448_00600	11	29	14	191	0.001000	NE
cds_SP5448_00605	30	73	8	95	0.000000	NE
cds_SP5448_00610	32	86	7	120	0.000000	NE
cds_SP5448_00615	12	26	4	34	0.000000	NE
cds_SP5448_00620	8	33	8	86	0.000000	NE
cds_SP5448_00625	4	23	15	170	0.067000	U
cds_SP5448_00630	26	41	3	21	0.000000	NE
cds_SP5448_00635	20	28	4	43	0.000000	NE
cds_SP5448_00640	36	58	5	91	0.000000	NE
cds_SP5448_00645	8	77	38	429	0.999000	E
cds_SP5448_00650	11	26	6	60	0.000000	NE
cds_SP5448_00655	27	50	4	44	0.000000	NE
cds_SP5448_00660	18	62	11	156	0.001000	NE
cds_SP5448_00670	17	22	1	2	0.000000	NE
cds_SP5448_00675	7	25	10	119	0.001000	NE
cds_SP5448_00680	13	28	4	79	0.000000	NE
cds_SP5448_00685	16	32	8	66	0.000000	NE
cds_SP5448_00690	19	37	4	90	0.000000	NE
cds_SP5448_00695	13	43	8	83	0.000000	NE
cds_SP5448_00700	11	49	9	173	0.001000	NE
cds_SP5448_00705	48	115	11	155	0.001000	NE
cds_SP5448_00710	87	203	8	86	0.000000	NE
cds_SP5448_00715	14	56	11	145	0.001000	NE
cds_SP5448_00720	29	85	12	116	0.001000	NE
cds_SP5448_00725	19	66	11	128	0.001000	NE
cds_SP5448_00730	26	63	9	65	0.000000	NE
cds_SP5448_00735	38	84	6	68	0.000000	NE
cds_SP5448_00740	2	10	7	96	0.010000	NE
cds_SP5448_00745	10	20	3	13	0.000000	NE
cds_SP5448_00750	29	63	4	43	0.000000	NE
cds_SP5448_00755	21	65	9	96	0.000000	NE
cds_SP5448_00760	35	97	6	57	0.000000	NE
cds_SP5448_00765	30	68	7	50	0.000000	NE
cds_SP5448_00770	27	77	11	128	0.001000	NE
cds_SP5448_00775	21	41	6	139	0.000000	NE
cds_SP5448_00780	18	48	5	83	0.000000	NE
cds_SP5448_00785	27	59	6	102	0.000000	NE
cds_SP5448_00790	11	22	3	20	0.000000	NE
cds_SP5448_00795	34	76	4	62	0.000000	NE
cds_SP5448_00800	8	27	4	27	0.000000	NE
cds_SP5448_00805	72	168	9	67	0.000000	NE
cds_SP5448_00810	12	37	5	67	0.000000	NE
cds_SP5448_00815	14	38	5	91	0.000000	NE
cds_SP5448_00820	36	75	5	64	0.000000	NE
cds_SP5448_00825	12	26	5	62	0.000000	NE
cds_SP5448_00830	41	92	9	138	0.000000	NE
cds_SP5448_00835	43	95	5	74	0.000000	NE
cds_SP5448_00840	20	42	6	138	0.000000	NE
cds_SP5448_00845	31	75	7	93	0.000000	NE
cds_SP5448_00850	25	62	11	175	0.001000	NE
cds_SP5448_00855	32	71	6	89	0.000000	NE
cds_SP5448_00860	15	57	10	233	0.001000	NE
cds_SP5448_00865	2	23	21	517	0.992000	E
cds_SP5448_00870	43	97	5	32	0.000000	NE
cds_SP5448_00875	9	54	20	192	0.001000	NE
cds_SP5448_00880	56	126	7	138	0.000000	NE
cds_SP5448_00885	14	35	4	39	0.000000	NE
cds_SP5448_00890	8	15	2	11	0.000000	NE
cds_SP5448_00900	6	11	4	35	-1.000000	S
cds_SP5448_00905	40	78	4	51	0.000000	NE
cds_SP5448_00910	4	115	48	950	1.000000	E
cds_SP5448_00915	24	71	10	103	0.001000	NE
cds_SP5448_00920	7	17	4	54	0.000000	NE
cds_SP5448_00925	11	33	4	49	0.000000	NE
cds_SP5448_00930	8	28	9	217	0.001000	NE
cds_SP5448_00935	19	40	4	57	0.000000	NE
cds_SP5448_00940	15	32	5	133	0.000000	NE
cds_SP5448_00945	55	127	7	105	0.000000	NE
cds_SP5448_00950	36	74	7	140	0.000000	NE
cds_SP5448_00955	21	63	9	87	0.000000	NE
cds_SP5448_00960	41	106	9	194	0.000000	NE
cds_SP5448_00965	21	160	27	332	0.809000	U
cds_SP5448_00970	13	24	3	44	0.000000	NE
cds_SP5448_00975	13	34	5	66	0.000000	NE
cds_SP5448_00980	8	16	3	59	0.000000	NE
cds_SP5448_00985	60	128	5	32	0.000000	NE
cds_SP5448_00990	28	48	4	53	0.000000	NE
cds_SP5448_00995	4	8	3	93	-1.000000	S
cds_SP5448_01000	9	16	3	28	0.000000	NE
cds_SP5448_01005	35	49	3	13	0.000000	NE
cds_SP5448_01010	5	10	2	13	0.000000	NE
cds_SP5448_01015	28	76	7	109	0.000000	NE
cds_SP5448_01020	25	53	7	62	0.000000	NE
cds_SP5448_01025	32	58	8	131	0.000000	NE
cds_SP5448_01030	24	39	3	26	0.000000	NE
cds_SP5448_01035	29	74	7	67	0.000000	NE
cds_SP5448_01045	23	60	7	117	0.000000	NE
cds_SP5448_01050	5	18	4	110	0.000000	NE
cds_SP5448_01055	14	40	6	38	0.000000	NE
cds_SP5448_01060	20	45	7	110	0.000000	NE
cds_SP5448_01065	2	27	21	398	0.979000	U
cds_SP5448_01070	47	86	7	146	0.000000	NE
cds_SP5448_01075	45	80	8	114	0.000000	NE
cds_SP5448_01085	5	75	30	534	0.998000	E
cds_SP5448_01090	60	128	8	85	0.000000	NE
cds_SP5448_01095	30	46	3	34	0.000000	NE
cds_SP5448_01100	22	32	3	29	0.000000	NE
cds_SP5448_01105	2	3	1	2	-1.000000	S
cds_SP5448_01115	19	57	12	155	0.001000	NE
cds_SP5448_01120	1	58	37	634	1.000000	E
cds_SP5448_01125	2	70	32	456	0.997000	E
cds_SP5448_01130	12	35	10	135	0.001000	NE
cds_SP5448_01135	37	115	13	334	0.077000	U
cds_SP5448_01140	29	105	14	229	0.001000	NE
cds_SP5448_01145	14	40	5	90	0.000000	NE
cds_SP5448_01150	7	26	6	82	0.000000	NE
cds_SP5448_01155	25	75	7	95	0.000000	NE
cds_SP5448_01160	2	27	20	378	0.968000	U
cds_SP5448_01165	24	50	6	99	0.000000	NE
cds_SP5448_01170	5	80	55	1033	1.000000	E
cds_SP5448_01175	62	122	6	95	0.000000	NE
cds_SP5448_01180	74	131	7	62	0.000000	NE
cds_SP5448_01185	33	61	6	52	0.000000	NE
cds_SP5448_01190	1	19	14	262	0.233000	U
cds_SP5448_01195	11	47	7	70	0.000000	NE
cds_SP5448_01200	5	48	19	393	0.850000	U
cds_SP5448_01205	1	11	10	118	-1.000000	S
cds_SP5448_01210	20	41	4	84	0.000000	NE
cds_SP5448_01215	22	67	9	163	0.000000	NE
cds_SP5448_01220	28	61	7	92	0.000000	NE
cds_SP5448_01225	22	50	4	77	0.000000	NE
cds_SP5448_01230	17	54	8	120	0.000000	NE
cds_SP5448_01235	29	68	5	66	0.000000	NE
cds_SP5448_01240	32	65	4	36	0.000000	NE
cds_SP5448_01245	26	53	6	128	0.000000	NE
cds_SP5448_01250	19	44	5	84	0.000000	NE
cds_SP5448_01255	12	35	7	104	0.000000	NE
cds_SP5448_01260	6	38	16	341	0.649000	U
cds_SP5448_01270	4	56	20	367	0.879000	U
cds_SP5448_01275	2	35	17	322	0.793000	U
cds_SP5448_01280	5	44	16	174	0.001000	NE
cds_SP5448_01285	22	75	11	182	0.001000	NE
cds_SP5448_01290	31	71	7	85	0.000000	NE
cds_SP5448_01295	15	56	9	107	0.000000	NE
cds_SP5448_01300	70	205	12	118	0.001000	NE
cds_SP5448_01305	1	28	22	323	0.985000	U
cds_SP5448_01310	1	30	29	462	0.999000	E
