# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0865-v0M1_gene_tas.txt -m 8 -s 1000
#FDR Corrected thresholds: 0.993 0.031
#MH Acceptance-Rate:	33.39%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.814507
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00575	4	25	8	125	0.001000	NE
cds_SP5448_00580	1	76	75	1254	1.000000	E
cds_SP5448_00585	18	170	29	344	0.083000	U
cds_SP5448_00590	0	159	159	3545	1.000000	E
cds_SP5448_00595	2	187	111	2096	1.000000	E
cds_SP5448_00600	6	29	18	217	0.001000	NE
cds_SP5448_00605	14	73	12	130	0.001000	NE
cds_SP5448_00610	18	86	11	165	0.001000	NE
cds_SP5448_00615	6	26	9	107	0.001000	NE
cds_SP5448_00620	6	33	8	86	0.000000	NE
cds_SP5448_00625	3	23	14	114	0.001000	NE
cds_SP5448_00630	12	41	19	198	0.002000	NE
cds_SP5448_00635	13	28	4	28	0.000000	NE
cds_SP5448_00640	22	58	8	109	0.000000	NE
cds_SP5448_00645	2	77	63	880	0.997000	E
cds_SP5448_00650	8	26	7	77	0.000000	NE
cds_SP5448_00655	11	50	16	263	0.005000	NE
cds_SP5448_00660	8	62	16	238	0.002000	NE
cds_SP5448_00670	7	22	4	50	0.000000	NE
cds_SP5448_00675	3	25	11	149	0.001000	NE
cds_SP5448_00680	7	28	7	228	0.000000	NE
cds_SP5448_00685	8	32	9	84	0.001000	NE
cds_SP5448_00690	8	37	11	135	0.001000	NE
cds_SP5448_00695	13	43	6	65	0.000000	NE
cds_SP5448_00700	6	49	16	303	0.088000	U
cds_SP5448_00705	23	115	13	177	0.001000	NE
cds_SP5448_00710	49	203	12	156	0.001000	NE
cds_SP5448_00715	7	56	14	128	0.001000	NE
cds_SP5448_00720	10	85	32	366	0.494000	U
cds_SP5448_00725	7	66	17	202	0.001000	NE
cds_SP5448_00730	16	63	7	119	0.000000	NE
cds_SP5448_00735	22	84	15	237	0.001000	NE
cds_SP5448_00740	1	10	7	96	0.012000	NE
cds_SP5448_00745	5	20	6	122	0.000000	NE
cds_SP5448_00750	11	63	14	177	0.001000	NE
cds_SP5448_00755	11	65	13	130	0.001000	NE
cds_SP5448_00760	19	97	11	102	0.001000	NE
cds_SP5448_00765	16	68	8	74	0.000000	NE
cds_SP5448_00770	12	77	17	215	0.001000	NE
cds_SP5448_00775	8	41	23	454	0.509000	U
cds_SP5448_00780	9	48	8	100	0.000000	NE
cds_SP5448_00785	19	59	6	46	0.000000	NE
cds_SP5448_00790	7	22	5	68	0.000000	NE
cds_SP5448_00795	14	76	14	211	0.001000	NE
cds_SP5448_00800	5	27	6	52	0.000000	NE
cds_SP5448_00805	40	168	21	387	0.047000	U
cds_SP5448_00810	5	37	13	152	0.001000	NE
cds_SP5448_00815	7	38	18	294	0.165000	U
cds_SP5448_00820	18	75	15	207	0.001000	NE
cds_SP5448_00825	8	26	8	112	0.001000	NE
cds_SP5448_00830	17	92	20	387	0.058000	U
